fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
8.9,0.4,0.49,2.9,0.106,31.0,37.0,0.99796,2.99,0.92,9.4
8.4,0.41,0.43,2.7,0.067,10.0,27.0,0.99777,3.31,0.59,11.9
5.2,0.73,0.0,2.5,0.091,37.0,60.0,0.99594,3.71,0.56,9.9
6.3,0.68,0.01,3.2,0.069,14.0,34.0,0.99586,3.35,0.55,9.7
9.8,0.6,0.12,2.2,0.078,6.0,42.0,0.99801,3.26,0.57,10.0
15.6,0.31,0.74,2.6,0.094,10.0,13.0,0.99895,3.03,0.57,11.9
8.4,0.57,0.38,2.2,0.093,6.0,26.0,0.99704,3.16,0.64,10.9
9.0,0.29,0.31,2.8,0.05,34.0,40.0,0.99697,3.33,0.58,11.4
15.7,0.67,0.66,1.6,0.089,16.0,40.0,1.00361,3.13,0.7,8.9
7.8,0.66,0.14,1.9,0.118,22.0,43.0,0.99709,3.28,0.78,9.2
7.8,0.69,0.01,1.9,0.069,5.0,9.0,0.99495,3.27,0.86,10.8
8.0,0.6,0.21,2.0,0.222,6.0,18.0,0.99605,3.21,0.58,9.4
7.0,0.3,0.14,2.4,0.096,32.0,31.0,0.99387,3.31,0.64,12.1
9.1,0.63,0.5,2.0,0.087,15.0,76.0,0.99602,3.22,0.61,11.8
8.2,0.21,0.39,1.6,0.091,6.0,11.0,0.99497,3.2,0.82,11.0
8.5,0.72,0.25,2.4,0.106,13.0,78.0,0.99677,3.25,0.55,9.9
11.4,0.45,0.7,2.2,0.082,2.0,10.0,0.99703,3.0,0.56,10.9
12.0,0.45,0.47,2.5,0.09,6.0,45.0,1.00142,3.14,0.92,9.5
7.1,0.57,0.11,2.9,0.071,30.0,49.0,0.99797,3.7,0.6,9.8
12.6,0.26,0.49,13.6,0.067,18.0,31.0,0.99909,3.19,0.65,11.5
7.0,0.97,0.0,3.0,0.079,14.0,44.0,0.99698,3.25,0.56,9.3
5.1,0.75,0.0,2.5,0.073,12.0,48.0,0.99373,3.52,0.68,11.5
7.6,0.58,0.38,2.8,0.123,14.0,48.0,0.99602,3.38,0.66,10.5
7.0,0.78,0.01,1.9,0.078,6.0,46.0,0.99605,3.31,0.56,9.4
6.9,0.6,0.13,2.4,0.072,14.0,25.0,0.99593,3.48,0.42,9.6
9.0,0.44,0.3,1.8,0.08,6.0,30.0,0.99596,3.17,0.98,10.6
8.4,0.55,0.35,1.6,0.08,6.0,24.0,0.99601,3.3,0.55,9.9
11.3,0.53,0.44,3.3,0.071,29.0,65.0,0.99689,3.06,0.6,11.7
6.7,0.67,0.07,1.8,0.082,5.0,7.0,0.99611,3.59,0.8,10.0
10.1,0.61,0.45,2.0,0.076,7.0,13.0,0.99703,3.31,0.8,11.7
9.9,0.48,0.59,2.0,0.077,5.0,73.0,0.99789,3.16,0.84,11.0
7.4,1.15,0.07,6.4,0.079,13.0,83.0,0.99609,3.23,0.38,9.8
7.8,0.58,0.31,2.1,0.07,7.0,24.0,0.99616,3.36,0.58,11.3
7.7,0.36,0.2,2.0,0.083,20.0,32.0,0.99593,3.35,0.9,10.8
8.3,0.6,0.05,2.0,0.08,8.0,19.0,0.99603,3.18,0.51,9.7
7.8,0.69,0.06,2.0,0.077,13.0,86.0,0.99791,3.3,0.81,9.3
10.5,0.49,0.43,1.8,0.102,2.0,10.0,0.99699,3.22,0.59,10.0
10.6,1.05,0.28,1.9,0.085,17.0,112.0,1.00334,3.37,0.9,9.5
8.3,0.62,0.43,2.6,0.075,24.0,144.0,0.99798,3.41,0.63,10.0
9.3,0.42,0.08,2.5,0.04,10.0,40.0,0.99689,3.23,0.52,10.5
7.2,1.08,0.12,4.2,0.083,20.0,24.0,0.99717,3.36,0.51,9.6
7.6,0.37,0.39,2.0,0.105,8.0,14.0,0.99593,3.4,0.65,10.8
5.1,0.67,0.01,2.1,0.076,12.0,36.0,0.99109,3.55,0.46,10.9
11.4,0.81,0.24,2.0,0.174,25.0,36.0,1.0019,3.3,0.65,9.5
12.6,0.33,0.7,2.7,0.061,11.0,25.0,1.00009,3.14,0.63,9.8
7.4,0.22,0.5,2.3,0.105,11.0,43.0,0.99608,3.18,0.66,9.9
10.1,0.63,0.02,1.4,0.064,40.0,75.0,0.99606,3.41,0.59,9.7
7.5,0.25,0.49,5.6,0.089,22.0,78.0,0.9959,3.3,0.68,12.6
7.6,0.4,0.19,9.9,0.06,32.0,56.0,0.99609,3.29,0.74,10.5
7.8,0.53,0.17,2.0,0.255,10.0,9.0,0.99591,3.43,0.8,11.4
6.7,0.84,0.01,2.6,0.076,15.0,42.0,0.99717,3.55,0.62,9.8
8.2,0.5,0.26,2.6,0.063,11.0,68.0,0.99619,3.29,0.63,11.5
6.9,0.37,0.26,1.9,0.077,3.0,10.0,0.99503,3.37,0.57,11.0
8.2,0.19,0.56,1.7,0.107,17.0,33.0,0.99697,3.47,1.08,9.9
8.3,0.54,0.06,1.7,0.079,39.0,135.0,0.99793,3.23,0.6,9.0
11.6,0.21,0.79,2.4,0.083,18.0,82.0,0.99801,3.12,0.88,11.9
11.9,0.28,0.57,2.3,0.074,9.0,43.0,0.99889,3.17,0.64,9.6
10.6,0.24,0.65,2.6,0.079,12.0,28.0,0.99988,3.28,0.59,9.4
7.6,0.41,0.39,2.1,0.094,7.0,32.0,0.99799,3.28,0.72,9.1
7.2,0.65,0.37,1.8,0.07,17.0,40.0,0.99594,3.45,0.7,10.8
5.5,0.54,0.0,1.8,0.088,10.0,20.0,0.99596,4.01,0.78,11.2
6.5,0.78,0.04,1.7,0.072,7.0,18.0,0.99588,3.44,0.51,10.0
12.1,0.53,0.43,2.6,0.083,7.0,34.0,0.99987,3.24,0.63,9.7
8.1,0.57,0.31,2.3,0.041,22.0,89.0,0.99596,3.39,0.51,10.6
9.2,0.64,0.2,7.6,0.104,12.0,24.0,0.99906,3.18,0.58,9.5
9.9,0.4,0.47,1.8,0.097,28.0,50.0,0.99723,3.3,0.83,10.2
8.8,0.24,0.57,2.5,0.066,17.0,16.0,0.997,3.34,0.59,10.2
9.8,0.67,0.05,2.4,0.088,15.0,38.0,0.99816,3.34,0.72,10.5
7.1,0.65,0.02,2.2,0.076,17.0,85.0,0.99599,3.57,0.55,10.1
9.1,0.69,0.44,2.0,0.09,12.0,70.0,0.99885,3.25,0.72,9.6
8.9,0.38,0.54,2.8,0.076,7.0,14.0,0.99407,3.25,0.56,14.3
13.0,0.6,0.28,2.2,0.076,5.0,23.0,0.99988,2.91,0.65,8.9
10.1,0.63,0.35,2.0,0.086,6.0,47.0,0.99818,3.12,0.61,10.9
7.9,0.43,0.47,2.0,0.074,21.0,38.0,0.99496,3.35,0.73,10.6
7.0,0.51,0.22,2.9,0.08,18.0,28.0,0.99582,3.46,0.53,12.1
6.9,0.35,0.18,2.8,0.043,20.0,54.0,0.99607,3.48,0.6,9.6
6.9,0.42,0.0,2.7,0.057,26.0,26.0,0.99505,3.5,0.6,10.6
8.2,0.5,0.29,2.4,0.116,9.0,64.0,0.99794,3.16,0.62,9.2
7.3,0.37,0.24,2.5,0.077,37.0,89.0,0.99702,3.19,0.81,9.5
11.1,0.59,0.49,2.7,0.08,16.0,32.0,0.99704,3.32,0.59,11.8
7.3,0.38,0.3,2.3,0.089,17.0,15.0,0.99612,3.25,0.94,10.7
6.5,1.09,0.0,1.8,0.074,19.0,44.0,0.99386,3.31,0.45,10.5
5.3,1.58,0.0,1.8,0.07,6.0,29.0,0.99374,3.54,0.55,10.7
7.6,0.57,0.45,2.0,0.113,14.0,39.0,0.99597,3.27,0.57,9.6
7.8,0.51,0.15,1.8,0.61,10.0,11.0,0.99592,3.2,0.61,9.6
7.7,0.3,0.25,2.1,0.075,15.0,15.0,0.99609,3.39,0.71,10.9
7.9,0.61,0.18,4.3,0.087,4.0,12.0,0.99816,3.46,0.51,10.6
8.7,1.08,0.3,2.2,0.08,11.0,43.0,0.99802,3.29,0.48,9.6
10.1,0.47,0.41,1.9,0.105,5.0,11.0,0.99595,3.01,0.76,9.5
7.0,0.66,0.02,2.5,0.057,40.0,116.0,0.99708,3.55,0.51,9.9
6.9,0.64,0.0,1.9,0.034,14.0,39.0,0.99596,3.58,0.48,11.0
9.3,0.56,0.31,2.3,0.075,4.0,19.0,0.99909,3.32,0.57,9.5
7.2,0.45,0.52,1.8,0.094,10.0,32.0,0.9959,3.36,1.62,12.5
11.2,0.55,0.25,2.1,0.064,6.0,11.0,0.99686,3.3,0.57,11.6
8.4,0.54,0.07,3.7,0.051,25.0,109.0,0.99596,3.19,0.58,10.0
13.0,0.46,0.41,1.6,0.075,4.0,15.0,1.00277,3.26,0.64,9.5
9.2,0.33,0.19,1.4,0.064,6.0,22.0,0.99603,3.35,0.67,11.4
5.7,0.84,0.01,1.7,0.07,6.0,14.0,0.99129,3.55,0.52,12.8
7.1,0.4,0.4,2.3,0.073,13.0,55.0,0.99591,3.22,0.6,10.0
6.6,0.58,0.0,2.1,0.046,6.0,21.0,0.99503,3.41,0.48,10.1
7.6,0.52,0.25,2.7,0.054,8.0,23.0,0.99804,3.46,0.59,9.7
7.0,0.52,0.22,1.8,0.089,50.0,108.0,0.99497,3.31,0.88,10.6
6.5,0.68,0.17,1.4,0.091,14.0,26.0,0.99581,3.62,0.66,10.9
8.2,0.53,0.02,1.5,0.078,10.0,17.0,0.99713,3.35,0.58,9.2
9.7,0.21,0.73,2.9,0.084,16.0,62.0,0.99613,3.21,0.75,12.3
6.7,0.94,0.0,1.7,0.062,15.0,88.0,0.99491,3.4,0.57,10.9
6.6,0.49,0.02,2.4,0.081,32.0,67.0,0.99606,3.52,0.64,9.9
6.9,0.37,0.33,2.8,0.076,11.0,70.0,0.99403,3.31,0.56,10.9
10.5,0.31,0.6,2.3,0.07,22.0,97.0,1.00005,2.99,0.66,8.9
8.6,0.23,0.3,1.6,0.086,15.0,20.0,0.99582,3.29,0.77,11.1
8.4,0.79,0.29,2.2,0.081,16.0,66.0,0.9991,3.21,0.79,9.4
5.8,0.6,0.01,1.8,0.071,10.0,19.0,0.99797,3.74,0.54,9.2
7.6,0.51,0.35,4.1,0.058,21.0,68.0,0.99511,3.4,0.68,12.2
7.0,0.66,0.39,4.7,0.083,13.0,49.0,0.9961,3.57,0.43,11.0
7.2,0.38,0.29,2.2,0.078,14.0,22.0,0.997,3.27,0.75,9.6
9.5,0.39,0.47,2.3,0.073,39.0,117.0,0.99602,3.16,0.54,10.4
7.5,0.39,0.41,2.3,0.082,10.0,20.0,0.99593,3.43,0.82,11.4
8.1,0.38,0.58,2.0,0.111,27.0,54.0,0.99695,3.2,1.22,9.8
7.8,0.3,0.46,1.6,0.086,13.0,45.0,0.99592,3.27,1.17,11.4
6.0,0.59,0.08,2.2,0.054,20.0,61.0,0.99491,3.67,0.5,11.3
7.5,0.62,0.52,1.7,0.081,8.0,17.0,0.99608,3.34,0.8,11.4
11.8,0.51,0.69,15.2,0.077,29.0,118.0,0.99912,3.15,0.65,11.0
7.6,0.64,0.37,1.6,0.098,6.0,19.0,0.99593,3.3,0.66,9.7
6.6,0.73,0.14,1.6,0.068,22.0,62.0,0.99392,3.57,0.67,12.9
10.0,0.79,0.41,5.9,0.115,20.0,92.0,1.00013,3.3,0.73,9.4
11.8,0.28,0.55,2.9,0.072,13.0,75.0,1.00002,3.2,0.7,9.4
10.2,0.25,0.6,2.1,0.048,7.0,13.0,0.99697,3.31,0.84,11.0
7.0,0.58,0.34,2.6,0.084,9.0,103.0,0.99603,3.19,0.66,9.4
6.8,0.77,0.1,2.6,0.113,17.0,27.0,0.99608,3.4,0.56,9.4
11.3,0.58,0.3,1.8,0.085,10.0,40.0,0.9981,3.12,0.71,9.5
7.1,0.63,0.26,2.0,0.077,9.0,19.0,0.99598,3.51,0.48,9.5
6.0,0.88,0.01,2.7,0.073,31.0,107.0,0.99514,3.28,0.63,9.5
8.4,0.53,0.43,2.7,0.101,20.0,45.0,0.99792,3.3,0.66,9.9
9.3,0.41,0.52,5.5,0.098,21.0,44.0,0.99778,3.14,0.94,10.5
7.4,0.37,0.32,4.0,0.094,37.0,46.0,0.99695,3.25,0.83,10.6
7.2,0.61,0.25,2.2,0.073,28.0,42.0,0.99702,3.47,0.52,9.6
8.9,0.47,0.38,2.2,0.163,14.0,44.0,0.99807,3.25,1.97,9.2
8.4,0.42,0.5,3.4,0.249,64.0,121.0,0.99805,3.11,0.62,9.4
6.4,0.65,0.07,1.7,0.106,7.0,54.0,0.99307,3.36,0.72,11.0
6.7,0.24,0.24,2.5,0.082,16.0,16.0,0.99684,3.54,0.71,10.1
10.3,0.37,0.26,1.6,0.122,7.0,10.0,0.99801,3.21,0.65,9.4
6.8,0.34,0.15,6.9,0.076,13.0,14.0,0.99566,3.51,0.66,14.3
7.5,0.43,0.26,2.4,0.076,21.0,46.0,0.99607,3.28,0.65,10.0
8.1,0.55,0.23,1.7,0.042,8.0,33.0,0.99588,3.43,0.54,11.9
7.0,0.37,0.07,2.6,0.068,13.0,16.0,0.99624,3.39,0.53,9.9
8.7,0.65,0.18,2.2,0.07,6.0,29.0,0.99791,3.31,0.82,11.3
12.8,0.37,0.49,2.2,0.071,9.0,19.0,0.99712,3.03,0.64,10.5
4.8,0.52,0.03,1.7,0.086,16.0,84.0,0.99386,3.71,0.67,9.9
8.2,0.58,0.29,3.4,0.066,4.0,25.0,0.99716,3.2,0.54,9.7
10.0,0.43,0.41,2.8,0.054,19.0,54.0,0.99614,3.23,0.72,12.0
12.6,0.22,0.6,1.9,0.072,6.0,13.0,0.9981,3.04,0.59,9.8
12.5,0.42,0.51,2.0,0.059,5.0,16.0,0.9982,3.25,0.71,11.6
9.2,0.25,0.49,5.0,0.085,46.0,140.0,0.99897,3.12,0.89,9.8
9.1,0.64,0.29,2.1,0.071,18.0,52.0,0.99894,3.17,0.62,9.3
8.0,0.57,0.23,1.7,0.081,49.0,61.0,0.99595,3.36,0.67,10.4
7.3,0.51,0.32,2.1,0.096,13.0,76.0,0.99585,3.31,0.61,11.9
8.8,0.39,0.43,1.9,0.158,7.0,24.0,0.99799,3.3,0.71,10.0
8.3,0.32,0.25,2.9,0.05,7.0,52.0,0.99707,3.38,0.55,11.9
7.6,0.67,0.02,1.9,0.037,23.0,41.0,0.99694,3.55,0.6,11.6
12.1,0.45,0.59,1.5,0.091,4.0,18.0,0.99805,3.12,0.99,10.5
10.6,0.61,0.47,1.9,0.177,30.0,87.0,0.998,2.98,0.79,9.4
8.9,0.79,0.03,1.9,0.091,20.0,69.0,0.99791,3.23,0.62,9.1
7.7,0.43,0.32,6.6,0.09,38.0,129.0,0.99696,3.24,0.77,9.6
6.0,0.56,0.01,2.2,0.096,28.0,84.0,0.99594,3.46,0.6,11.2
7.5,0.62,0.19,2.6,0.082,8.0,32.0,0.99589,3.49,0.79,12.9
8.5,0.62,0.17,1.8,0.053,2.0,16.0,0.99902,3.37,0.77,9.3
11.9,0.37,0.51,2.2,0.418,14.0,28.0,0.9971,3.18,0.81,11.5
7.6,0.69,0.05,2.1,0.055,17.0,50.0,0.99595,3.4,0.58,11.0
6.3,0.62,0.09,1.9,0.056,11.0,33.0,0.9926,3.51,0.56,11.9
6.8,0.55,0.04,2.1,0.117,18.0,14.0,0.99597,3.32,0.77,10.5
8.5,0.82,0.38,6.3,0.066,25.0,30.0,1.00007,3.39,0.57,9.2
8.9,0.63,0.4,1.6,0.078,5.0,15.0,0.99589,3.07,0.58,10.4
6.9,0.5,0.19,2.2,0.079,13.0,45.0,0.99598,3.4,0.89,10.1
6.4,0.47,0.0,1.9,0.055,16.0,33.0,0.99592,3.51,0.53,10.0
8.4,0.61,0.39,2.2,0.096,15.0,64.0,0.99614,3.12,0.56,9.5
6.3,0.56,0.11,2.4,0.069,11.0,19.0,0.99306,3.62,0.57,13.2
11.1,0.23,0.55,15.2,0.094,20.0,32.0,0.99794,3.14,0.93,10.8
9.7,0.65,0.5,3.8,0.47,18.0,99.0,0.99904,3.13,1.05,9.3
8.0,0.61,0.44,2.9,0.084,18.0,41.0,0.99897,3.31,1.08,9.7
7.7,0.4,0.49,1.9,0.102,6.0,22.0,0.99592,3.39,0.55,10.0
10.0,0.67,0.46,7.9,0.078,2.0,13.0,0.99805,3.24,0.57,10.0
6.5,0.79,0.27,2.4,0.07,22.0,47.0,0.99603,3.66,0.74,11.0
6.6,0.29,0.49,2.3,0.081,6.0,30.0,0.99501,3.36,1.11,11.5
10.4,0.6,0.08,1.5,0.065,12.0,69.0,0.99606,3.19,0.55,9.5
9.8,0.53,0.56,2.4,0.115,9.0,46.0,0.99676,3.13,0.89,10.0
8.1,0.31,0.32,2.6,0.083,15.0,39.0,0.99807,3.39,0.81,9.6
7.3,0.77,0.12,2.4,0.199,7.0,23.0,0.99589,3.22,0.53,9.3
7.7,0.42,0.22,1.7,0.413,10.0,98.0,0.99684,3.28,0.93,9.6
8.2,0.42,0.02,2.2,0.073,7.0,25.0,0.99611,3.3,0.54,10.6
9.2,0.28,0.54,1.7,0.085,6.0,19.0,0.99593,3.26,0.81,12.1
13.2,0.23,0.73,3.1,0.077,6.0,49.0,0.99812,3.24,0.86,13.4
7.2,0.82,0.09,5.6,0.08,18.0,38.0,0.99696,3.48,0.81,10.9
7.8,0.65,0.09,2.3,0.077,6.0,12.0,0.99694,3.41,0.7,10.0
7.1,0.44,0.3,2.0,0.073,38.0,88.0,0.99608,3.43,0.91,9.6
6.9,0.79,0.06,2.6,0.085,20.0,103.0,0.99691,3.44,0.42,9.3
6.5,0.66,0.07,2.0,0.069,16.0,23.0,0.996,3.44,0.47,9.5
7.7,0.64,0.25,2.5,0.076,10.0,28.0,0.99717,3.35,0.46,10.1
7.1,0.59,0.38,4.0,0.08,15.0,115.0,0.99814,3.42,0.63,9.6
7.2,0.36,0.24,2.4,0.076,4.0,30.0,0.99717,3.48,0.72,10.1
8.5,0.72,0.22,1.8,0.08,3.0,16.0,0.99604,3.27,1.04,11.2
8.9,0.29,0.43,2.8,0.09,18.0,108.0,0.99607,3.2,0.59,11.2
5.1,0.48,0.03,2.1,0.092,14.0,49.0,0.99586,3.61,0.5,9.4
7.3,0.4,0.28,1.8,0.112,14.0,51.0,0.99604,3.24,0.77,9.1
8.6,0.53,0.54,4.5,0.075,10.0,87.0,0.99609,3.18,0.64,12.5
6.7,0.41,0.14,2.0,0.058,16.0,52.0,0.99502,3.39,0.58,10.4
10.3,0.36,0.45,4.8,0.093,12.0,14.0,0.99782,3.12,0.81,9.8
7.9,0.63,0.22,2.6,0.079,11.0,25.0,0.99699,3.36,0.63,11.0
7.7,0.43,0.18,2.8,0.059,57.0,154.0,0.99612,3.39,0.52,10.0
8.8,0.19,0.45,1.9,0.052,31.0,50.0,0.99174,3.36,0.87,14.7
7.6,0.42,0.27,3.2,0.081,10.0,32.0,0.99877,3.56,0.48,10.5
7.8,0.36,0.38,3.0,0.047,9.0,34.0,0.99606,3.29,0.57,10.1
7.0,0.57,0.2,2.5,0.084,14.0,39.0,0.99596,3.43,0.82,12.5
7.6,0.52,0.26,2.2,0.066,22.0,133.0,0.99417,3.34,0.48,12.6
8.8,0.8,0.31,2.3,0.068,13.0,70.0,0.99798,3.24,0.47,9.5
9.8,0.68,0.22,2.0,0.098,10.0,43.0,0.99808,3.08,0.62,9.5
11.0,0.27,0.51,2.5,0.089,22.0,44.0,0.9951,2.96,0.89,11.7
7.7,0.41,0.11,1.6,0.088,7.0,21.0,0.99693,3.37,0.88,9.6
7.2,0.38,0.03,1.5,0.079,22.0,12.0,0.995,3.32,0.76,9.5
9.0,0.56,0.25,2.0,0.082,15.0,40.0,1.00014,3.29,0.71,8.9
9.1,0.32,0.55,2.6,0.085,22.0,34.0,0.99703,3.32,0.79,10.9
8.1,0.45,0.44,2.5,0.127,22.0,49.0,0.99605,3.2,0.85,12.7
10.1,0.35,0.55,2.5,0.073,3.0,10.0,0.99793,3.28,1.09,10.1
8.3,0.86,0.26,2.3,0.073,10.0,43.0,0.99694,3.44,0.42,10.2
6.8,0.42,0.02,1.9,0.068,9.0,21.0,0.99597,3.47,0.74,9.4
8.6,0.5,0.3,1.8,0.067,32.0,138.0,0.99592,3.27,0.57,9.4
6.9,0.62,0.06,2.2,0.065,7.0,36.0,0.99404,3.41,0.41,10.4
6.3,0.32,0.17,2.1,0.073,11.0,55.0,0.99423,3.4,0.46,12.5
10.3,0.33,0.49,2.2,0.09,14.0,75.0,0.99702,3.11,0.55,9.6
12.3,0.36,0.36,13.9,0.083,6.0,10.0,0.99792,2.86,0.78,10.5
6.6,0.32,0.14,1.9,0.069,22.0,53.0,0.99401,3.42,0.59,11.3
7.8,0.62,0.16,2.2,0.082,7.0,47.0,0.99696,3.31,0.48,9.6
7.8,0.91,0.02,2.1,0.076,7.0,25.0,0.99611,3.43,0.6,10.0
6.0,0.61,0.01,2.7,0.061,7.0,47.0,0.99601,3.53,0.63,9.6
6.7,0.62,0.07,3.6,0.049,29.0,81.0,0.99606,3.43,0.49,10.8
9.4,0.82,0.23,4.3,0.074,31.0,101.0,0.99808,3.19,0.67,9.4
