fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
6.2,0.63,0.04,2.0,0.074,18.0,72.0,0.995,3.59,0.79,9.9
7.9,0.42,0.45,1.7,0.056,12.0,62.0,0.997,3.4,0.44,9.5
9.3,0.72,0.27,2.4,0.082,14.0,42.0,0.999,3.22,0.61,9.6
8.8,0.55,0.5,1.9,0.097,5.0,31.0,0.998,3.14,0.62,9.2
6.5,0.68,0.0,4.2,0.184,37.0,88.0,0.996,3.38,0.93,9.5
9.1,0.36,0.46,1.9,0.071,15.0,45.0,0.999,3.34,0.66,9.1
6.8,0.6,0.11,2.0,0.091,10.0,41.0,0.996,3.4,0.56,9.7
6.4,0.25,0.41,1.3,0.075,10.0,19.0,0.9921,3.36,0.69,11.0
7.6,0.64,0.31,2.0,0.08,27.0,85.0,0.997,3.42,0.81,9.2
8.9,0.52,0.19,1.4,0.075,10.0,22.0,0.996,3.23,0.54,10.7
7.9,0.38,0.4,2.6,0.066,11.0,46.0,0.998,3.4,0.54,9.4
8.1,1.18,0.02,2.5,0.086,16.0,67.0,0.998,3.27,0.54,9.2
11.3,0.24,0.76,2.0,0.111,6.0,22.0,0.996,3.07,0.64,12.7
6.8,0.32,0.39,2.5,0.073,14.0,91.0,0.996,3.29,0.46,9.5
7.7,0.35,0.39,2.2,0.076,17.0,44.0,0.995,3.21,0.56,10.4
7.3,0.33,0.03,1.3,0.12,7.0,17.0,0.992,3.3,0.58,12.0
5.4,0.6,0.01,1.6,0.051,24.0,82.0,0.994,3.57,0.49,10.2
8.7,0.79,0.24,2.0,0.096,12.0,38.0,0.997,2.99,0.63,9.1
7.8,0.76,0.12,2.1,0.083,37.0,92.0,0.996,3.29,0.8,9.6
9.8,0.29,0.5,2.0,0.073,10.0,13.0,0.996,3.2,0.73,11.8
9.4,0.58,0.1,2.5,0.058,26.0,42.0,0.998,3.41,0.48,10.5
7.9,0.47,0.13,2.8,0.066,14.0,54.0,0.996,3.37,0.63,11.7
8.0,0.59,0.02,2.2,0.121,10.0,12.0,0.996,3.25,0.73,12.0
9.2,0.63,0.49,2.0,0.218,9.0,29.0,0.998,3.2,0.57,8.9
10.2,0.26,0.58,2.7,0.074,9.0,44.0,0.999,3.35,0.71,10.1
7.0,0.62,0.09,2.0,0.122,13.0,47.0,0.997,3.56,0.71,9.5
7.5,0.44,0.24,2.3,0.061,18.0,67.0,0.996,3.42,0.5,10.8
7.3,0.49,0.19,5.4,0.046,21.0,29.0,0.995,3.67,0.71,14.0
7.1,0.51,0.15,6.5,0.076,19.0,88.0,0.996,3.5,0.65,12.8
9.0,0.59,0.48,2.7,0.071,39.0,115.0,0.998,3.24,0.47,9.5
11.9,0.28,0.39,2.1,0.08,17.0,58.0,1.0,3.19,1.14,10.7
7.6,0.49,0.43,2.7,0.074,16.0,35.0,0.994,3.18,0.55,12.9
6.6,0.68,0.1,2.1,0.083,10.0,32.0,0.994,3.41,0.58,12.6
11.2,0.21,0.55,1.7,0.127,10.0,33.0,0.997,3.0,1.99,9.8
7.1,0.42,0.1,2.1,0.063,15.0,23.0,0.994,3.34,0.57,12.1
11.2,0.28,0.51,1.5,0.105,7.0,11.0,0.998,3.2,0.56,10.3
6.6,0.48,0.27,2.4,0.098,26.0,73.0,0.996,3.37,0.75,10.6
7.1,0.39,0.48,2.4,0.042,12.0,24.0,0.995,3.56,0.84,13.8
7.8,0.38,0.4,2.0,0.09,10.0,20.0,0.995,2.98,0.55,10.2
8.1,0.83,0.01,2.6,0.072,23.0,66.0,0.998,3.34,0.58,10.5
6.8,0.81,0.0,2.5,0.053,25.0,93.0,0.996,3.5,0.5,10.4
8.5,0.73,0.12,2.6,0.094,25.0,89.0,0.998,3.37,0.57,9.4
6.8,0.38,0.19,3.3,0.091,30.0,62.0,0.995,3.34,0.61,12.2
7.6,0.66,0.07,1.9,0.081,24.0,54.0,0.997,3.32,0.55,9.1
10.1,0.34,0.09,2.7,0.075,17.0,46.0,0.997,3.25,0.81,10.0
9.0,0.3,0.37,1.6,0.071,20.0,59.0,0.996,3.25,0.43,9.5
6.8,0.72,0.18,6.6,0.156,10.0,31.0,1.0,3.29,0.56,9.3
7.1,0.67,0.09,1.8,0.078,6.0,20.0,0.996,3.3,0.55,10.2
11.2,0.35,0.49,2.4,0.121,30.0,59.0,0.998,3.01,1.18,9.9
8.8,0.42,0.26,2.2,0.054,28.0,53.0,0.998,3.44,0.82,10.9
7.4,0.33,0.07,1.9,0.118,48.0,65.0,0.996,3.29,0.61,9.9
9.2,0.5,0.26,2.5,0.081,14.0,15.0,0.997,3.28,0.84,10.7
8.4,0.42,0.33,3.2,0.061,49.0,90.0,0.999,3.41,0.53,9.6
11.9,0.92,0.24,2.9,0.074,19.0,45.0,0.999,3.18,0.55,10.1
7.2,0.66,0.38,2.9,0.076,30.0,116.0,0.997,3.28,0.61,9.4
7.1,0.43,0.29,2.7,0.067,5.0,22.0,0.996,3.38,0.55,11.4
7.2,0.39,0.41,1.2,0.214,4.0,8.0,0.99209,3.3,0.82,10.7
6.5,0.62,0.0,2.2,0.046,18.0,22.0,0.996,3.62,0.45,10.5
7.5,0.68,0.2,2.0,0.077,12.0,58.0,0.996,3.5,0.59,11.4
7.1,0.42,0.36,2.7,0.085,28.0,78.0,0.996,3.49,0.58,11.8
7.1,0.84,0.03,2.7,0.071,15.0,48.0,0.997,3.36,0.43,9.1
9.4,0.54,0.28,2.3,0.083,6.0,32.0,0.998,3.15,0.65,10.6
8.1,0.31,0.49,1.9,0.081,7.0,19.0,0.996,3.24,0.95,11.9
6.4,0.33,0.18,1.6,0.095,4.0,12.0,0.994,3.31,0.83,11.3
9.2,0.72,0.26,2.5,0.088,6.0,32.0,0.997,3.19,0.75,9.9
8.2,0.41,0.43,2.1,0.09,3.0,43.0,0.998,3.31,0.87,9.9
8.4,0.65,0.12,2.5,0.075,17.0,47.0,0.996,3.17,0.57,10.4
7.1,0.75,0.25,1.7,0.074,35.0,93.0,0.997,3.36,0.63,9.6
9.0,0.55,0.13,2.7,0.1,30.0,63.0,0.999,3.24,0.62,9.6
7.3,0.34,0.38,2.8,0.067,7.0,24.0,0.996,3.22,0.61,9.8
7.0,0.88,0.17,1.7,0.064,15.0,72.0,0.996,3.4,0.52,10.1
9.2,0.49,0.36,2.1,0.078,10.0,16.0,0.996,3.18,0.63,11.8
10.1,0.51,0.46,2.8,0.111,15.0,21.0,0.998,3.41,0.7,11.5
7.1,0.63,0.0,2.1,0.072,10.0,15.0,0.996,3.34,0.55,9.8
7.3,0.67,0.11,3.0,0.093,11.0,49.0,0.997,3.22,0.63,10.1
8.0,0.57,0.02,1.3,0.118,11.0,20.0,0.997,3.33,0.79,9.1
5.4,0.6,0.0,1.7,0.07,40.0,114.0,0.996,3.77,0.56,9.5
7.1,0.52,0.07,2.3,0.111,16.0,23.0,0.997,3.37,0.74,9.6
7.1,0.52,0.01,2.6,0.073,7.0,18.0,0.996,3.16,0.44,9.5
10.5,0.35,0.64,2.0,0.072,13.0,12.0,0.997,3.25,0.74,11.0
7.8,0.53,0.25,1.2,0.067,31.0,27.0,0.996,3.52,0.63,10.0
6.7,0.85,0.01,2.1,0.085,9.0,44.0,0.996,3.41,0.62,10.1
8.4,0.42,0.4,2.4,0.097,6.0,56.0,0.997,3.05,0.76,9.6
9.0,0.59,0.27,1.7,0.074,16.0,131.0,0.997,3.16,0.76,9.5
8.5,0.43,0.38,4.0,0.093,4.0,18.0,0.998,3.32,0.66,10.1
8.3,0.51,0.34,2.6,0.087,5.0,22.0,0.996,3.23,0.48,10.9
9.1,0.67,0.15,3.5,0.076,25.0,67.0,1.0,3.4,1.08,9.4
9.1,0.83,0.04,2.2,0.074,23.0,133.0,0.999,3.32,0.66,9.4
11.1,0.53,0.59,1.8,0.419,11.0,13.0,0.996,3.3,0.84,10.9
7.8,0.37,0.3,2.1,0.112,4.0,16.0,0.996,3.23,0.57,10.5
9.4,0.52,0.51,2.0,0.211,10.0,25.0,0.996,3.28,0.72,10.5
8.6,0.51,0.21,13.0,0.086,10.0,47.0,0.998,3.08,0.74,9.8
7.9,0.31,0.35,3.5,0.049,17.0,30.0,0.996,3.44,0.51,11.2
7.1,0.66,0.05,2.1,0.087,23.0,131.0,0.998,3.38,0.59,9.4
9.8,0.55,0.27,5.6,0.068,17.0,90.0,0.997,3.23,0.67,12.6
9.3,0.94,0.04,2.6,0.077,16.0,58.0,0.997,3.36,0.67,12.4
6.8,0.7,0.07,1.5,0.078,13.0,11.0,0.994,3.27,0.58,11.0
8.2,0.4,0.49,2.5,0.064,30.0,94.0,0.997,3.35,0.61,11.0
7.7,0.44,0.57,2.3,0.06,15.0,108.0,0.996,3.24,0.4,9.9
7.7,0.63,0.3,3.1,0.072,9.0,33.0,0.996,3.32,0.72,11.4
8.6,0.42,0.51,1.6,0.128,22.0,16.0,0.996,3.45,0.79,11.8
7.8,0.62,0.21,2.0,0.098,4.0,11.0,0.996,3.19,0.45,10.9
7.5,0.58,0.2,6.4,0.103,3.0,16.0,0.997,3.36,0.58,9.8
7.6,0.64,0.11,1.5,0.076,20.0,96.0,0.996,3.44,0.88,9.4
7.8,0.78,0.19,1.8,0.126,5.0,20.0,0.996,3.11,0.58,9.4
9.5,0.33,0.42,2.8,0.083,37.0,72.0,0.997,3.31,0.72,10.5
7.3,0.39,0.22,1.7,0.089,5.0,13.0,0.995,3.35,0.64,9.5
8.6,0.94,0.22,2.4,0.09,34.0,119.0,0.999,3.36,0.61,10.5
7.7,0.31,0.45,1.5,0.099,5.0,25.0,0.994,3.28,1.6,11.6
8.2,0.7,0.02,2.0,0.068,27.0,51.0,0.996,3.14,0.48,10.8
9.3,0.77,0.29,2.8,0.083,16.0,53.0,0.998,3.42,0.78,10.4
8.0,0.3,0.37,1.9,0.094,10.0,30.0,0.996,3.19,0.85,9.7
9.3,0.27,0.6,1.6,0.093,11.0,30.0,0.996,3.25,0.64,11.0
7.4,0.23,0.35,2.6,0.065,9.0,14.0,0.996,3.43,0.93,11.3
9.9,0.23,0.52,1.6,0.054,20.0,37.0,0.996,3.38,0.68,13.6
7.4,0.39,0.07,2.3,0.058,21.0,34.0,0.996,3.21,0.46,9.6
6.6,0.55,0.16,2.2,0.08,20.0,31.0,0.996,3.35,0.65,10.6
10.4,0.28,0.55,3.2,0.093,11.0,97.0,0.998,3.07,0.62,10.6
6.7,0.49,0.11,2.6,0.086,44.0,52.0,0.996,3.29,0.78,10.1
7.5,0.41,0.31,1.7,0.114,3.0,13.0,0.996,3.42,1.08,10.1
7.6,0.52,0.41,2.1,0.093,20.0,68.0,1.0,3.41,0.63,9.3
12.6,0.56,0.32,2.3,0.074,7.0,22.0,0.999,3.13,0.53,9.3
7.7,0.63,0.06,2.2,0.123,23.0,33.0,0.996,3.35,0.82,10.9
7.0,0.52,0.01,1.9,0.087,10.0,14.0,0.996,3.49,0.55,10.5
13.3,0.34,0.48,2.1,0.053,23.0,107.0,0.999,3.14,0.53,10.5
7.1,0.72,0.0,1.8,0.04,11.0,31.0,0.996,3.54,0.57,11.6
8.0,0.52,0.25,2.4,0.084,4.0,24.0,0.997,3.29,1.17,9.6
10.0,0.56,0.32,2.0,0.079,10.0,61.0,0.998,3.31,0.73,10.6
9.9,0.31,0.49,3.6,0.072,19.0,32.0,0.998,3.36,0.58,10.1
6.4,0.45,0.18,1.9,0.076,5.0,63.0,0.99323,3.27,0.63,11.0
10.0,0.41,0.57,1.7,0.079,18.0,20.0,0.996,3.11,1.03,10.0
8.5,0.55,0.41,2.1,0.064,2.0,12.0,0.998,3.49,0.53,9.7
13.7,0.26,0.53,5.7,0.075,7.0,10.0,1.00229,3.09,0.78,9.7
9.1,0.34,0.43,1.8,0.075,5.0,16.0,0.996,3.32,0.76,11.5
10.3,0.65,0.43,1.5,0.076,5.0,13.0,0.996,3.37,0.6,12.7
7.9,0.38,0.18,2.5,0.072,9.0,47.0,0.999,3.3,0.64,9.1
6.6,0.71,0.08,2.7,0.077,32.0,108.0,0.996,3.43,0.72,10.6
9.4,0.66,0.24,2.2,0.097,59.0,84.0,0.997,3.3,0.7,10.8
8.1,0.5,0.49,2.4,0.084,29.0,60.0,0.996,3.24,0.58,10.1
10.4,0.36,0.58,7.7,0.078,21.0,90.0,0.998,3.2,0.63,11.0
6.1,0.3,0.05,1.6,0.073,6.0,51.0,0.995,3.4,0.81,9.7
6.1,0.61,0.13,1.6,0.097,10.0,22.0,0.995,3.66,0.72,10.1
11.2,0.32,0.68,1.4,0.082,7.0,12.0,0.996,3.14,0.69,11.2
8.0,0.39,0.45,2.6,0.082,26.0,80.0,0.996,3.42,0.67,10.1
7.7,0.31,0.12,1.6,0.035,7.0,8.0,0.994,3.44,0.65,12.8
10.0,0.27,0.56,2.7,0.072,9.0,47.0,1.0,3.37,0.78,11.6
10.0,0.38,0.35,1.4,0.085,12.0,32.0,0.996,3.38,0.66,12.0
11.2,0.54,0.28,2.1,0.075,5.0,10.0,1.0,3.29,0.72,9.3
8.6,0.51,0.29,1.9,0.079,8.0,29.0,0.996,3.26,0.78,10.2
6.5,0.51,0.33,2.8,0.081,14.0,19.0,0.996,3.67,0.6,10.9
8.2,0.38,0.2,1.7,0.082,12.0,28.0,0.996,3.35,0.58,10.5
7.4,0.72,0.22,2.2,0.08,6.0,55.0,0.996,3.42,0.56,9.9
6.8,0.3,0.3,2.8,0.06,34.0,33.0,0.996,3.37,0.59,10.2
7.7,0.61,0.17,2.3,0.088,33.0,87.0,0.997,3.23,0.56,9.4
8.7,0.32,0.51,1.8,0.416,3.0,13.0,0.997,3.21,0.94,9.7
7.1,0.61,0.0,2.1,0.091,6.0,20.0,0.995,3.23,0.61,9.9
6.0,0.5,0.02,2.8,0.081,10.0,35.0,0.996,3.34,0.83,9.4
9.8,0.34,0.69,3.3,0.216,11.0,24.0,0.997,3.17,1.11,11.4
7.6,0.43,0.26,1.4,0.089,18.0,46.0,0.995,3.4,0.63,9.7
8.7,0.52,0.33,2.3,0.181,12.0,41.0,0.997,3.14,0.66,9.7
7.7,0.59,0.27,2.7,0.08,31.0,28.0,0.996,3.3,0.5,10.0
12.8,0.58,0.62,1.9,0.094,7.0,26.0,0.998,3.04,0.66,10.4
6.8,0.64,0.05,2.2,0.077,10.0,40.0,0.996,3.37,0.59,9.8
8.0,0.43,0.43,2.7,0.055,6.0,73.0,0.997,3.3,0.44,10.1
9.9,0.59,0.6,2.7,0.077,5.0,58.0,0.997,3.22,0.57,10.7
9.4,0.42,0.4,2.0,0.095,7.0,12.0,0.997,3.24,0.59,10.0
6.4,0.41,0.27,1.8,0.079,6.0,16.0,0.996,3.31,0.62,9.5
11.4,0.34,0.62,1.7,0.083,12.0,34.0,0.997,3.09,1.02,10.3
8.3,0.72,0.02,1.4,0.058,6.0,22.0,0.998,3.33,0.56,9.4
7.5,0.67,0.13,2.0,0.082,29.0,87.0,0.996,3.4,0.82,11.0
8.9,0.51,0.34,3.0,0.075,8.0,33.0,0.998,3.29,0.68,10.8
7.1,0.92,0.0,2.0,0.096,21.0,30.0,0.997,3.42,0.55,9.2
7.3,0.27,0.37,2.6,0.084,9.0,39.0,0.995,3.3,0.56,11.2
6.3,0.36,0.01,1.9,0.059,13.0,26.0,0.994,3.48,0.66,12.0
7.4,0.43,0.22,1.8,0.082,12.0,73.0,0.995,3.32,0.73,13.1
10.3,0.39,0.45,2.9,0.065,15.0,31.0,1.00207,3.33,0.78,9.5
7.0,0.25,0.05,2.4,0.078,15.0,69.0,0.995,3.44,0.79,11.7
5.5,0.45,0.17,2.3,0.05,23.0,49.0,0.99144,3.43,0.52,13.2
6.8,0.42,0.21,2.8,0.06,2.0,20.0,0.996,3.5,0.54,11.2
7.0,0.47,0.32,1.7,0.104,12.0,32.0,0.994,3.14,1.33,10.2
6.9,0.83,0.08,2.2,0.076,5.0,49.0,0.996,3.39,0.56,9.7
5.4,0.5,0.01,2.1,0.12,13.0,66.0,0.996,3.64,0.83,9.2
7.0,0.57,0.26,10.9,0.09,6.0,41.0,0.996,3.39,0.66,11.6
7.4,0.47,0.38,2.3,0.087,24.0,105.0,0.996,3.15,0.59,10.2
9.7,0.34,0.65,2.6,0.099,4.0,10.0,0.997,3.14,0.56,12.5
6.1,0.66,0.02,2.4,0.081,16.0,93.0,0.996,3.65,0.72,9.8
8.8,0.65,0.23,1.8,0.074,8.0,37.0,0.996,3.37,0.62,11.5
6.4,0.55,0.02,2.1,0.124,30.0,40.0,0.997,3.56,0.81,9.5
10.9,0.49,0.48,2.6,0.075,24.0,68.0,0.998,3.42,0.62,10.4
9.4,0.53,0.37,1.5,0.184,6.0,13.0,0.996,3.15,0.57,9.3
11.1,0.5,0.65,2.6,0.207,6.0,16.0,0.998,3.06,0.57,9.2
6.7,0.39,0.07,1.6,0.064,8.0,19.0,0.995,3.38,0.62,10.1
10.6,0.39,0.31,4.5,0.056,15.0,45.0,1.0,3.15,0.47,9.4
12.6,0.39,0.4,1.9,0.061,20.0,24.0,0.999,3.37,0.69,10.2
10.4,0.41,0.51,2.8,0.068,10.0,27.0,0.997,3.3,0.61,11.5
10.0,0.54,0.37,1.9,0.067,5.0,14.0,0.995,3.18,0.55,12.6
7.1,0.72,0.33,2.7,0.086,10.0,31.0,0.998,3.43,0.57,9.2
12.0,0.51,0.69,3.0,0.085,4.0,22.0,0.999,2.93,0.64,9.5
7.2,0.57,0.31,2.6,0.056,17.0,32.0,0.996,3.4,0.47,11.8
12.4,0.58,0.55,1.8,0.101,7.0,25.0,0.998,2.9,0.54,9.2
7.0,0.84,0.19,1.9,0.077,18.0,56.0,0.996,3.48,0.52,10.8
7.4,0.38,0.23,1.9,0.093,6.0,31.0,0.996,3.44,0.47,9.6
8.1,0.29,0.44,1.5,0.076,3.0,15.0,0.995,3.0,0.57,10.0
5.1,0.52,0.01,3.0,0.053,27.0,69.0,0.995,3.54,0.7,9.6
7.5,0.66,0.25,2.8,0.093,18.0,51.0,0.996,3.21,0.85,11.7
6.6,0.51,0.01,2.7,0.081,5.0,28.0,0.996,3.49,0.5,9.4
6.9,0.49,0.22,2.3,0.061,25.0,122.0,0.99319,3.38,0.54,12.4
7.3,0.48,0.37,2.2,0.155,36.0,58.0,0.997,3.45,0.91,11.0
7.8,0.68,0.49,6.1,0.101,26.0,106.0,0.997,3.31,0.89,9.9
7.5,0.4,0.43,2.5,0.09,22.0,46.0,0.995,3.26,0.58,10.9
6.2,0.45,0.41,2.9,0.098,16.0,26.0,0.995,3.5,0.69,10.6
12.0,0.41,0.54,2.5,0.091,30.0,132.0,0.999,3.11,0.81,9.8
8.7,0.37,0.55,1.9,0.073,7.0,19.0,0.996,3.32,0.65,10.9
7.4,0.42,0.14,3.1,0.049,10.0,20.0,0.997,3.42,0.58,9.6
10.0,0.3,0.58,2.8,0.084,28.0,52.0,1.0,3.37,1.19,11.8
7.1,0.74,0.1,1.9,0.063,13.0,86.0,0.996,3.31,0.57,10.1
8.5,0.42,0.39,1.6,0.077,3.0,9.0,0.995,3.36,0.57,12.7
7.2,0.38,0.2,4.0,0.08,31.0,66.0,0.997,3.54,0.74,10.5
5.4,0.49,0.02,2.1,0.084,12.0,13.0,0.994,3.59,0.76,13.3
6.3,0.53,0.02,1.4,0.078,7.0,22.0,0.99333,3.25,0.52,9.8
6.7,0.32,0.39,2.9,0.072,15.0,38.0,0.996,3.5,0.78,11.4
9.1,0.27,0.55,2.1,0.088,5.0,20.0,0.999,3.15,0.76,9.0
9.1,0.36,0.49,4.1,0.053,10.0,55.0,0.998,3.41,0.49,11.2
6.8,0.59,0.01,2.2,0.067,14.0,46.0,0.996,3.39,0.64,9.9
6.6,0.67,0.01,2.4,0.075,10.0,54.0,0.996,3.48,0.63,9.6
7.6,0.37,0.29,2.1,0.073,72.0,139.0,0.996,3.36,0.65,9.9
10.7,0.42,0.52,2.0,0.084,17.0,63.0,1.0,3.11,0.52,9.3
6.6,1.11,0.0,1.7,0.078,2.0,8.0,0.995,3.44,0.56,10.8
7.3,0.67,0.07,2.3,0.069,18.0,37.0,0.996,3.49,0.5,12.0
7.1,0.53,0.04,2.6,0.067,6.0,20.0,0.997,3.49,0.44,9.5
11.9,0.23,0.54,5.5,0.039,26.0,86.0,0.998,3.13,0.56,9.5
9.2,0.2,0.64,1.4,0.063,21.0,49.0,0.996,3.29,0.76,11.0
7.1,0.69,0.07,2.6,0.077,31.0,51.0,0.996,3.41,0.57,10.1
9.3,0.25,0.51,2.6,0.072,25.0,21.0,0.996,3.32,0.62,10.9
9.5,0.55,0.06,1.9,0.076,6.0,47.0,0.997,3.08,0.6,9.5
5.7,1.01,0.0,2.1,0.099,17.0,34.0,0.997,3.66,0.54,9.4
7.0,0.32,0.02,2.1,0.083,24.0,89.0,0.994,3.29,0.58,10.9
6.6,0.61,0.22,3.1,0.05,16.0,26.0,0.995,3.55,0.54,12.2
7.3,0.53,0.21,2.1,0.05,38.0,102.0,0.998,3.64,0.75,10.4
6.5,0.68,0.02,1.6,0.042,11.0,13.0,0.99258,3.41,0.6,11.3
6.8,0.72,0.17,2.0,0.076,19.0,24.0,0.995,3.41,0.64,10.5
5.3,0.58,0.09,1.8,0.088,7.0,35.0,0.994,3.43,0.57,9.8
6.7,0.71,0.39,2.2,0.118,36.0,151.0,0.996,3.14,0.55,9.5
8.4,0.32,0.39,2.9,0.162,9.0,29.0,0.997,3.06,1.35,9.9
7.1,0.4,0.03,2.3,0.04,10.0,33.0,0.996,3.51,0.73,11.1
6.9,0.43,0.48,2.3,0.097,31.0,71.0,0.996,3.4,0.71,10.6
7.7,0.53,0.28,2.6,0.08,15.0,41.0,0.996,3.41,0.75,12.0
8.3,0.63,0.02,2.0,0.069,19.0,35.0,0.998,3.39,0.49,9.3
8.5,0.68,0.33,5.7,0.09,5.0,15.0,0.999,3.29,0.67,10.8
9.3,0.66,0.16,2.3,0.238,24.0,43.0,0.998,3.13,0.81,10.5
9.4,0.59,0.49,1.6,0.082,8.0,20.0,0.996,3.23,0.67,11.1
10.2,0.46,0.31,2.8,0.054,24.0,133.0,0.996,3.01,0.56,10.2
6.9,0.82,0.2,2.4,0.077,28.0,57.0,0.997,3.46,0.62,10.7
7.0,0.72,0.06,1.8,0.074,12.0,32.0,0.996,3.41,0.7,9.6
7.8,0.5,0.24,2.1,0.08,18.0,63.0,0.996,3.33,0.53,9.8
8.0,0.43,0.39,14.0,0.154,10.0,40.0,1.0,3.26,0.54,9.3
7.0,0.63,0.01,2.0,0.076,7.0,15.0,0.998,3.42,0.53,9.6
8.6,0.33,0.46,2.2,0.086,6.0,22.0,0.996,3.32,0.62,12.1
10.2,0.46,0.55,2.5,0.087,4.0,13.0,0.998,3.33,0.55,10.6
8.3,0.49,0.3,1.9,0.083,17.0,29.0,0.995,3.41,0.79,13.2
11.5,0.54,0.54,1.8,0.101,6.0,36.0,0.997,3.12,0.89,10.9
7.0,0.65,0.01,2.0,0.069,8.0,20.0,0.996,3.32,0.51,9.8
7.1,0.45,0.24,1.9,0.074,3.0,27.0,0.994,3.23,0.44,9.5
11.5,0.49,0.61,2.1,0.103,11.0,95.0,0.998,3.12,0.97,10.8
8.2,0.51,0.33,3.4,0.083,10.0,29.0,1.0,3.39,0.56,9.4
7.9,0.41,0.49,2.2,0.073,12.0,47.0,0.995,3.38,0.55,13.0
8.1,0.39,0.25,4.0,0.082,34.0,94.0,0.997,3.25,0.88,9.3
9.9,0.4,0.48,2.1,0.07,29.0,30.0,0.996,3.42,0.56,11.1
11.5,0.7,0.27,2.1,0.074,9.0,14.0,0.997,3.01,0.55,9.5
9.1,0.37,0.39,2.6,0.093,9.0,27.0,0.998,3.22,0.76,9.7
7.1,0.89,0.01,15.4,0.088,24.0,47.0,0.998,3.4,0.55,9.8
7.7,0.58,0.04,2.8,0.061,7.0,43.0,0.996,3.38,0.59,11.1
8.6,0.74,0.12,2.6,0.08,13.0,44.0,0.997,3.37,0.59,9.6
8.2,0.6,0.48,2.2,0.074,15.0,37.0,0.998,3.37,0.89,10.5
10.6,0.35,0.49,2.7,0.082,6.0,36.0,0.999,3.21,0.78,9.8
15.9,0.39,0.7,2.1,0.096,14.0,27.0,0.999,2.99,1.98,10.8
8.8,0.52,0.23,1.8,0.069,11.0,31.0,0.998,3.42,0.71,10.2
9.5,0.58,0.43,2.2,0.08,7.0,30.0,0.996,3.19,0.6,12.1
10.1,0.2,0.5,1.9,0.109,16.0,32.0,0.996,3.15,1.11,9.6
8.1,0.66,0.28,2.5,0.08,6.0,42.0,0.999,3.37,0.98,9.5
12.6,0.27,0.73,1.8,0.081,4.0,12.0,0.997,2.94,0.82,10.1
7.9,0.38,0.23,8.3,0.047,21.0,121.0,0.997,3.19,0.51,10.9
7.7,0.37,0.45,2.4,0.061,12.0,104.0,0.996,3.18,0.74,10.5
7.4,0.62,0.5,2.8,0.094,26.0,58.0,0.998,3.42,0.71,9.8
6.9,0.59,0.01,1.5,0.091,11.0,17.0,0.995,3.49,0.54,11.7
