age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,age_group,education,workclass,native-country,race
27,192797,10,7712,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,25-34,Some-college,Private,United-States,White
25,224374,7,4699,0,40,Never-married,Other-relative,Male,Exec-managerial,25-34,HS-grad,State-gov,United-States,White
19,357616,9,11,0,37,Married-civ-spouse,Husband,Male,Exec-managerial,17-24,Assoc-voc,Private,United-States,White
37,181586,9,6,0,40,Divorced,Not-in-family,Female,Other-service,35-44,Masters,Private,United-States,White
39,217572,13,0,0,54,Divorced,Own-child,Female,Craft-repair,35-44,HS-grad,Private,United-States,White
42,109633,14,3,0,40,Divorced,Unmarried,Female,Sales,35-44,Preschool,Private,United-States,White
69,369796,9,12,0,59,Married-civ-spouse,Husband,Male,Handlers-cleaners,65-90,10th,Self-emp-not-inc,United-States,White
25,248071,13,0,0,11,Never-married,Unmarried,Female,Other-service,25-34,Bachelors,Private,United-States,White
34,245044,14,3,1499,29,Married-civ-spouse,Husband,Male,Transport-moving,25-34,7th-8th,Private,United-States,White
19,184051,10,0,0,40,Never-married,Not-in-family,Male,Exec-managerial,17-24,HS-grad,Private,United-States,White
22,249469,10,0,0,27,Never-married,Own-child,Male,Other-service,17-24,12th,Private,United-States,White
36,279461,9,4,0,35,Married-civ-spouse,Husband,Male,Craft-repair,35-44,HS-grad,Local-gov,United-States,White
36,93912,9,0,1884,40,Separated,Unmarried,Male,Machine-op-inspct,35-44,Prof-school,Self-emp-not-inc,United-States,White
28,197019,9,0,0,45,Never-married,Not-in-family,Female,Craft-repair,25-34,Some-college,Private,United-States,White
30,129168,9,0,0,51,Separated,Not-in-family,Female,Adm-clerical,25-34,Assoc-acdm,Private,United-States,White
62,145093,12,5,2614,58,Married-civ-spouse,Husband,Male,Protective-serv,55-64,Masters,Private,Canada,White
35,99009,6,1,0,20,Divorced,Unmarried,Female,Machine-op-inspct,35-44,Masters,Private,United-States,White
28,93758,14,10,0,61,Married-spouse-absent,Not-in-family,Female,Prof-specialty,25-34,HS-grad,Private,United-States,White
38,103834,14,7,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,35-44,HS-grad,Private,United-States,White
26,62937,13,8195,0,45,Divorced,Unmarried,Female,Protective-serv,25-34,HS-grad,Self-emp-inc,United-States,White
28,139688,9,0,0,33,Never-married,Own-child,Male,Sales,25-34,Some-college,Private,United-States,White
41,173063,9,0,0,45,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,HS-grad,Private,United-States,White
45,94624,10,8,0,44,Widowed,Unmarried,Female,Adm-clerical,45-54,10th,Federal-gov,United-States,White
28,231991,9,0,0,40,Married-civ-spouse,Husband,Male,Sales,25-34,Assoc-acdm,Private,United-States,White
41,100260,13,0,0,28,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,Some-college,Private,United-States,White
28,185112,9,0,0,40,Never-married,Own-child,Female,Sales,25-34,Assoc-voc,Private,United-States,White
49,78588,12,4151,0,40,Married-civ-spouse,Husband,Male,Craft-repair,45-54,Some-college,Federal-gov,United-States,White
46,157359,10,0,0,40,Never-married,Not-in-family,Male,Adm-clerical,45-54,Bachelors,State-gov,United-States,White
55,189302,10,0,0,40,Divorced,Not-in-family,Male,Sales,55-64,HS-grad,Private,South,White
43,137666,10,14714,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,HS-grad,Local-gov,Canada,White
55,132106,4,0,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,55-64,7th-8th,Self-emp-not-inc,United-States,White
37,381409,10,0,0,10,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,Bachelors,Private,United-States,White
40,246810,6,10,0,40,Married-civ-spouse,Husband,Male,Craft-repair,35-44,HS-grad,Self-emp-inc,United-States,White
46,478000,10,4,0,37,Divorced,Not-in-family,Female,Prof-specialty,45-54,Bachelors,State-gov,Mexico,White
49,100458,10,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,45-54,Bachelors,Private,United-States,White
52,123237,9,0,0,40,Divorced,Not-in-family,Male,Adm-clerical,45-54,Masters,Private,United-States,White
48,96990,13,3394,0,74,Married-civ-spouse,Husband,Male,Craft-repair,45-54,Bachelors,Federal-gov,United-States,White
27,80442,4,14,0,40,Divorced,Unmarried,Female,Tech-support,25-34,Some-college,Private,United-States,White
41,83690,15,4,0,51,Married-spouse-absent,Not-in-family,Female,Protective-serv,35-44,Bachelors,Private,United-States,White
44,190851,9,4,1725,56,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,Bachelors,Private,South,White
61,119258,9,0,0,51,Married-civ-spouse,Husband,Male,Adm-clerical,55-64,Some-college,Self-emp-not-inc,United-States,White
19,379928,9,0,0,13,Never-married,Own-child,Female,Sales,17-24,Some-college,State-gov,United-States,White
49,178962,7,0,0,58,Married-civ-spouse,Husband,Male,Other-service,45-54,HS-grad,Private,United-States,White
34,51390,9,0,0,40,Never-married,Own-child,Male,Machine-op-inspct,25-34,HS-grad,Self-emp-not-inc,United-States,White
34,242034,14,17,0,37,Married-spouse-absent,Unmarried,Male,Prof-specialty,25-34,Bachelors,Private,United-States,White
77,166796,10,2,0,40,Widowed,Not-in-family,Male,Other-service,65-90,HS-grad,Private,United-States,White
29,132473,10,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,25-34,Some-college,Self-emp-inc,United-States,White
34,361902,2,7,0,8,Married-civ-spouse,Wife,Female,Prof-specialty,25-34,Some-college,State-gov,United-States,White
33,148527,7,0,0,57,Never-married,Own-child,Male,Adm-clerical,25-34,HS-grad,Private,United-States,White
51,312438,13,0,0,44,Married-civ-spouse,Husband,Male,Tech-support,45-54,9th,Private,United-States,White
22,254744,9,0,0,40,Never-married,Own-child,Male,Prof-specialty,17-24,Some-college,Local-gov,United-States,White
33,310999,9,5,0,40,Married-civ-spouse,Husband,Male,Sales,25-34,Some-college,Private,United-States,White
42,66502,13,1,0,52,Married-civ-spouse,Wife,Female,Adm-clerical,35-44,HS-grad,Private,United-States,White
27,59306,6,4,0,58,Never-married,Not-in-family,Male,Other-service,25-34,Some-college,Self-emp-not-inc,United-States,White
17,405372,10,0,0,40,Never-married,Own-child,Male,Tech-support,17-24,HS-grad,Private,United-States,White
37,300165,10,2,0,40,Never-married,Own-child,Male,Transport-moving,35-44,Some-college,Private,United-States,White
42,40987,7,6,0,40,Never-married,Not-in-family,Male,Other-service,35-44,HS-grad,Private,United-States,White
37,202518,9,0,0,30,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,HS-grad,Self-emp-not-inc,Jamaica,Black
43,40943,13,6,0,52,Married-civ-spouse,Husband,Male,Adm-clerical,35-44,Preschool,State-gov,United-States,White
62,265827,4,0,0,40,Divorced,Unmarried,Female,Sales,55-64,Some-college,Private,United-States,White
45,110167,10,0,0,23,Married-civ-spouse,Wife,Female,Machine-op-inspct,45-54,HS-grad,Private,United-States,White
25,66474,9,8,0,81,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Bachelors,Private,United-States,White
44,188303,9,6,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,35-44,Masters,Private,United-States,White
77,152440,13,0,0,73,Divorced,Not-in-family,Male,Sales,65-90,HS-grad,Private,Hong,Asian-Pac-Islander
28,405200,12,0,0,50,Married-civ-spouse,Husband,Male,Other-service,25-34,Some-college,Private,United-States,White
46,45008,9,0,0,44,Married-civ-spouse,Husband,Male,Craft-repair,45-54,5th-6th,Private,United-States,White
40,59546,10,6,0,52,Never-married,Own-child,Male,Other-service,35-44,Assoc-voc,Private,United-States,White
49,206047,10,0,0,40,Married-civ-spouse,Husband,Male,Other-service,45-54,HS-grad,Private,United-States,White
41,63966,9,9,0,45,Married-civ-spouse,Husband,Male,Other-service,35-44,Some-college,Private,United-States,White
37,180288,13,0,0,40,Divorced,Own-child,Male,Sales,35-44,Masters,Private,Japan,Asian-Pac-Islander
31,154920,10,0,0,36,Never-married,Own-child,Male,Other-service,25-34,HS-grad,Self-emp-inc,United-States,White
35,140965,14,4,0,27,Never-married,Own-child,Female,Exec-managerial,35-44,Bachelors,Private,United-States,White
41,263448,10,11,0,58,Married-civ-spouse,Husband,Male,Protective-serv,35-44,Bachelors,Private,United-States,White
72,127849,9,4482,0,40,Married-civ-spouse,Own-child,Female,Other-service,65-90,7th-8th,Self-emp-not-inc,United-States,White
32,157387,7,0,0,30,Married-civ-spouse,Husband,Male,Transport-moving,25-34,HS-grad,Private,United-States,White
37,194641,14,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,35-44,Bachelors,Private,United-States,White
36,238366,9,3,0,40,Married-civ-spouse,Husband,Male,Tech-support,35-44,Masters,Federal-gov,United-States,White
41,526842,9,0,0,40,Never-married,Own-child,Male,Prof-specialty,35-44,Some-college,Private,United-States,White
28,318863,13,0,0,43,Married-civ-spouse,Husband,Male,Other-service,25-34,HS-grad,Private,United-States,White
29,238216,10,0,0,61,Never-married,Not-in-family,Female,Adm-clerical,25-34,HS-grad,Private,United-States,White
29,149200,10,3,0,70,Married-civ-spouse,Husband,Male,Other-service,25-34,HS-grad,Self-emp-not-inc,United-States,White
35,109004,7,0,0,59,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,HS-grad,Self-emp-not-inc,United-States,White
30,196652,10,12,2017,40,Married-civ-spouse,Wife,Female,Other-service,25-34,HS-grad,Private,United-States,White
30,297257,12,7858,0,40,Married-civ-spouse,Wife,Female,Adm-clerical,25-34,Some-college,Private,United-States,White
46,294060,13,6,0,57,Married-civ-spouse,Husband,Male,Sales,45-54,Some-college,Local-gov,United-States,White
58,221479,9,3,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,55-64,Masters,State-gov,United-States,White
43,141133,10,16,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,Some-college,Private,United-States,White
21,261204,11,14708,0,40,Never-married,Own-child,Female,Adm-clerical,17-24,12th,Private,United-States,White
41,366244,9,3,0,40,Married-civ-spouse,Husband,Male,Sales,35-44,Bachelors,Private,United-States,White
31,194025,13,0,0,40,Married-spouse-absent,Not-in-family,Female,Sales,25-34,Some-college,Private,United-States,White
55,45095,9,4,0,40,Married-civ-spouse,Husband,Male,Transport-moving,55-64,Masters,Private,United-States,White
29,416101,6,0,0,36,Never-married,Unmarried,Male,Adm-clerical,25-34,Assoc-voc,Private,United-States,White
24,251571,10,0,0,46,Never-married,Not-in-family,Male,Sales,17-24,Some-college,Private,United-States,White
47,166518,14,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,45-54,Some-college,Local-gov,United-States,White
36,195361,9,3,0,56,Married-civ-spouse,Wife,Female,Prof-specialty,35-44,HS-grad,Federal-gov,United-States,White
36,302173,10,5,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,35-44,Masters,Federal-gov,England,White
47,324225,10,8,0,59,Married-civ-spouse,Husband,Male,Sales,45-54,Some-college,Private,United-States,White
28,403182,9,0,0,36,Never-married,Unmarried,Female,Prof-specialty,25-34,HS-grad,Private,United-States,White
49,113115,9,0,0,8,Never-married,Own-child,Male,Prof-specialty,45-54,HS-grad,Self-emp-inc,United-States,White
20,267077,13,4,0,40,Married-civ-spouse,Husband,Male,Other-service,17-24,Some-college,Private,United-States,White
37,82798,14,11,0,40,Divorced,Other-relative,Female,Prof-specialty,35-44,Doctorate,Local-gov,United-States,White
40,31921,9,0,0,40,Married-civ-spouse,Husband,Male,Tech-support,35-44,HS-grad,Private,United-States,White
64,216806,9,6,0,51,Married-civ-spouse,Husband,Male,Craft-repair,55-64,HS-grad,Private,United-States,White
38,118291,13,5,0,48,Divorced,Unmarried,Female,Adm-clerical,35-44,HS-grad,Private,United-States,White
53,120961,13,4,1976,40,Married-spouse-absent,Own-child,Female,Handlers-cleaners,45-54,HS-grad,State-gov,United-States,White
63,182439,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,55-64,HS-grad,Self-emp-not-inc,South,White
45,121215,10,14789,0,45,Married-civ-spouse,Husband,Male,Exec-managerial,45-54,HS-grad,Private,Portugal,White
37,186306,12,0,0,20,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,Bachelors,Private,United-States,White
43,231059,9,3913,0,20,Divorced,Not-in-family,Female,Craft-repair,35-44,Bachelors,Self-emp-inc,United-States,White
40,289475,14,0,0,40,Never-married,Own-child,Female,Adm-clerical,35-44,HS-grad,Private,United-States,White
35,268908,12,0,0,57,Never-married,Unmarried,Male,Sales,35-44,Bachelors,Self-emp-not-inc,United-States,White
28,211113,11,3,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Some-college,Private,United-States,White
37,309323,11,0,0,6,Married-civ-spouse,Husband,Male,Handlers-cleaners,35-44,HS-grad,Private,United-States,White
54,38130,9,0,0,51,Married-civ-spouse,Husband,Male,Craft-repair,45-54,Bachelors,Private,United-States,White
31,205352,10,4,0,26,Never-married,Not-in-family,Female,Craft-repair,25-34,HS-grad,Private,United-States,White
52,125209,6,0,0,46,Married-civ-spouse,Husband,Male,Prof-specialty,45-54,9th,Private,United-States,White
33,150679,9,14015,0,40,Never-married,Own-child,Female,Exec-managerial,25-34,Masters,Private,United-States,White
52,188914,9,0,0,40,Divorced,Not-in-family,Female,Transport-moving,45-54,Bachelors,Private,United-States,White
48,178054,13,1,0,15,Never-married,Not-in-family,Male,Craft-repair,45-54,Masters,Private,United-States,White
50,197197,13,0,1994,40,Divorced,Unmarried,Female,Prof-specialty,45-54,Assoc-voc,Self-emp-not-inc,United-States,White
54,85447,13,0,0,70,Married-civ-spouse,Husband,Male,Other-service,45-54,HS-grad,Private,United-States,White
35,194276,13,6,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,35-44,Some-college,Self-emp-not-inc,United-States,White
74,157267,10,15,0,59,Never-married,Other-relative,Male,Exec-managerial,65-90,Some-college,Private,United-States,White
47,78939,14,0,0,40,Never-married,Not-in-family,Female,Craft-repair,45-54,HS-grad,Federal-gov,United-States,White
36,201815,10,5,0,44,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Bachelors,Private,United-States,White
34,282907,13,0,0,48,Never-married,Not-in-family,Female,Exec-managerial,25-34,HS-grad,Private,United-States,White
34,343938,9,2,0,40,Never-married,Own-child,Male,Craft-repair,25-34,HS-grad,Private,United-States,White
23,59305,14,0,0,11,Never-married,Own-child,Female,Craft-repair,17-24,HS-grad,Private,United-States,White
28,67210,14,12,0,82,Never-married,Not-in-family,Female,Adm-clerical,25-34,HS-grad,Private,Philippines,Asian-Pac-Islander
51,142972,2,14471,0,15,Married-civ-spouse,Husband,Male,Exec-managerial,45-54,HS-grad,Private,United-States,White
52,508950,13,8,0,51,Married-civ-spouse,Husband,Male,Machine-op-inspct,45-54,Masters,State-gov,United-States,White
48,193354,10,1,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,45-54,Masters,Private,United-States,White
19,181044,9,0,0,50,Never-married,Not-in-family,Female,Prof-specialty,17-24,Some-college,Private,United-States,White
50,44255,9,9,0,40,Married-spouse-absent,Not-in-family,Male,Exec-managerial,45-54,Bachelors,Private,United-States,White
45,94967,10,0,0,40,Married-civ-spouse,Husband,Male,Sales,45-54,Some-college,Self-emp-not-inc,United-States,White
20,225081,10,4,0,52,Never-married,Not-in-family,Male,Sales,17-24,Some-college,Private,United-States,White
39,139162,10,6,0,40,Divorced,Unmarried,Female,Exec-managerial,35-44,Assoc-voc,Self-emp-not-inc,United-States,White
27,121894,7,3508,0,36,Never-married,Own-child,Male,Prof-specialty,25-34,Some-college,State-gov,Mexico,White
27,277848,9,12,0,40,Married-civ-spouse,Husband,Male,Craft-repair,25-34,Bachelors,Private,United-States,White
26,476341,7,2,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,25-34,HS-grad,Private,Cuba,White
35,169507,10,0,0,75,Married-civ-spouse,Wife,Female,Exec-managerial,35-44,Some-college,Private,United-States,White
29,61770,10,20061,0,60,Married-civ-spouse,Husband,Male,Priv-house-serv,25-34,11th,Private,United-States,White
62,115508,12,7619,0,40,Widowed,Not-in-family,Female,Adm-clerical,55-64,Masters,Private,United-States,White
29,97917,9,0,0,35,Never-married,Not-in-family,Male,Sales,25-34,HS-grad,Private,United-States,White
40,47070,10,9,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,35-44,HS-grad,Private,Japan,Black
56,63335,14,7,0,40,Married-civ-spouse,Husband,Male,Sales,55-64,Bachelors,Private,United-States,White
45,180577,11,0,0,25,Divorced,Not-in-family,Female,Adm-clerical,45-54,Bachelors,Private,United-States,White
36,102168,9,12,0,45,Married-civ-spouse,Husband,Male,Adm-clerical,35-44,HS-grad,Private,United-States,White
23,159016,13,2,1993,44,Never-married,Not-in-family,Male,Exec-managerial,17-24,11th,Private,United-States,White
40,150387,10,0,0,50,Divorced,Not-in-family,Female,Tech-support,35-44,HS-grad,Private,United-States,White
27,67689,4,3,0,8,Married-civ-spouse,Husband,Male,Craft-repair,25-34,HS-grad,Private,United-States,White
43,532074,10,9,0,40,Divorced,Not-in-family,Male,Farming-fishing,35-44,Bachelors,Private,United-States,White
51,146913,10,4,0,51,Never-married,Own-child,Male,Other-service,45-54,Assoc-acdm,Private,United-States,White
35,111827,11,0,0,40,Married-civ-spouse,Husband,Male,Other-service,35-44,Bachelors,Private,Poland,White
53,205545,10,9,0,46,Divorced,Not-in-family,Female,Sales,45-54,Some-college,Private,United-States,White
37,62932,9,0,0,40,Married-civ-spouse,Husband,Male,Farming-fishing,35-44,HS-grad,Private,United-States,White
38,220030,10,5,0,13,Divorced,Unmarried,Male,Other-service,35-44,Masters,Private,United-States,White
25,173342,8,4,0,50,Never-married,Own-child,Male,Other-service,25-34,HS-grad,Private,United-States,White
35,359383,10,0,0,40,Divorced,Not-in-family,Female,Craft-repair,35-44,HS-grad,Federal-gov,Mexico,White
32,192087,10,1,0,51,Never-married,Other-relative,Male,Other-service,25-34,HS-grad,State-gov,United-States,White
51,47646,2,7,0,40,Married-civ-spouse,Husband,Male,Craft-repair,45-54,HS-grad,Self-emp-not-inc,France,White
23,41792,11,7,0,7,Never-married,Own-child,Male,Adm-clerical,17-24,11th,Private,United-States,White
30,209855,6,1,0,40,Divorced,Not-in-family,Female,Sales,25-34,HS-grad,Private,United-States,White
39,97001,13,1,0,40,Widowed,Unmarried,Male,Prof-specialty,35-44,11th,Private,United-States,White
31,104954,9,5036,0,20,Separated,Not-in-family,Male,Sales,25-34,Assoc-voc,Private,United-States,White
59,150029,9,11,0,65,Married-civ-spouse,Husband,Male,Craft-repair,55-64,Some-college,Private,Puerto-Rico,White
47,128367,15,0,0,45,Widowed,Unmarried,Female,Craft-repair,45-54,HS-grad,Self-emp-inc,United-States,White
57,353330,10,0,0,40,Married-civ-spouse,Wife,Female,Tech-support,55-64,HS-grad,Private,United-States,White
68,176591,9,3,0,36,Married-civ-spouse,Husband,Male,Craft-repair,65-90,10th,Private,United-States,White
55,111009,9,5,0,47,Married-civ-spouse,Husband,Male,Sales,55-64,HS-grad,Private,United-States,White
52,105657,7,1902,0,40,Never-married,Not-in-family,Female,Transport-moving,45-54,Some-college,Private,United-States,White
57,211667,11,15214,0,52,Married-civ-spouse,Wife,Female,Adm-clerical,55-64,Some-college,Private,United-States,White
38,196582,14,7,0,56,Married-civ-spouse,Husband,Male,Tech-support,35-44,Some-college,Private,United-States,White
33,107271,9,0,1894,25,Never-married,Not-in-family,Female,Sales,25-34,HS-grad,Private,United-States,White
34,156579,10,8,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,Assoc-voc,Private,United-States,White
35,198747,9,4181,0,48,Married-civ-spouse,Husband,Male,Craft-repair,35-44,Doctorate,State-gov,United-States,White
47,301728,10,0,0,40,Widowed,Unmarried,Female,Transport-moving,45-54,Some-college,Local-gov,United-States,White
30,232616,13,2,0,63,Married-civ-spouse,Husband,Male,Prof-specialty,25-34,Some-college,Private,United-States,White
40,571051,11,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,35-44,HS-grad,Private,United-States,White
56,225321,9,0,0,37,Married-civ-spouse,Husband,Male,Sales,55-64,Prof-school,Self-emp-not-inc,United-States,White
29,233410,14,5,0,44,Married-civ-spouse,Husband,Male,Adm-clerical,25-34,Some-college,State-gov,United-States,White
55,114269,10,2,0,46,Divorced,Not-in-family,Male,Prof-specialty,55-64,HS-grad,Private,United-States,White
36,209313,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,35-44,HS-grad,Private,United-States,White
