age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,education,workclass,native-country,race
22,532221,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Assoc-acdm,Private,United-States,White
31,299689,13,14,0,6,Never-married,Unmarried,Female,Sales,Masters,Private,United-States,White
66,93812,8,3,0,40,Widowed,Unmarried,Female,Other-service,HS-grad,Private,United-States,White
36,64101,6,0,0,20,Married-civ-spouse,Own-child,Female,Tech-support,HS-grad,Federal-gov,United-States,Black
39,158812,9,0,0,40,Never-married,Not-in-family,Female,Exec-managerial,HS-grad,Private,United-States,Black
58,117857,2,0,0,26,Widowed,Other-relative,Female,Other-service,HS-grad,Self-emp-not-inc,United-States,White
37,171310,9,2,0,40,Divorced,Unmarried,Male,Craft-repair,Masters,State-gov,United-States,White
36,90615,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Private,United-States,White
43,62917,10,3,0,40,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,Federal-gov,United-States,White
30,137665,5,0,0,40,Never-married,Own-child,Male,Sales,Some-college,Private,United-States,White
36,176034,9,1,0,40,Married-civ-spouse,Husband,Male,Tech-support,HS-grad,Self-emp-not-inc,United-States,White
22,105705,9,9,0,40,Never-married,Own-child,Female,Sales,Some-college,Private,United-States,White
45,30596,10,0,0,50,Married-civ-spouse,Husband,Male,Craft-repair,Some-college,Private,United-States,White
49,172479,9,0,0,43,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,State-gov,United-States,White
50,141605,10,8,0,40,Married-civ-spouse,Husband,Male,Transport-moving,Masters,Self-emp-not-inc,Mexico,White
40,188431,13,0,0,20,Married-civ-spouse,Other-relative,Female,Adm-clerical,7th-8th,Private,United-States,White
33,81435,13,0,0,50,Married-civ-spouse,Husband,Male,Tech-support,Bachelors,Private,United-States,White
49,162882,10,0,0,40,Divorced,Not-in-family,Female,Prof-specialty,10th,Local-gov,United-States,White
26,273679,10,1,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Some-college,Private,United-States,White
41,199136,9,2,0,40,Divorced,Unmarried,Female,Handlers-cleaners,Bachelors,Private,United-States,White
40,179906,4,2,0,40,Never-married,Unmarried,Female,Exec-managerial,HS-grad,Private,United-States,White
29,262391,9,0,0,5,Never-married,Own-child,Male,Prof-specialty,5th-6th,Self-emp-not-inc,United-States,White
30,86791,14,0,0,49,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
23,182719,15,0,0,58,Never-married,Unmarried,Male,Machine-op-inspct,Some-college,Private,United-States,White
34,158406,15,8178,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,Some-college,Local-gov,United-States,Black
30,173345,12,3,0,40,Married-civ-spouse,Husband,Male,Sales,Bachelors,Self-emp-not-inc,United-States,White
41,186781,8,7428,0,40,Divorced,Not-in-family,Female,Machine-op-inspct,HS-grad,Private,Honduras,White
45,69279,9,0,0,40,Widowed,Not-in-family,Male,Other-service,Masters,Private,United-States,Amer-Indian-Eskimo
17,259627,8,1,0,40,Never-married,Own-child,Female,Sales,Some-college,Private,United-States,White
75,246661,13,12,0,33,Separated,Not-in-family,Male,Prof-specialty,11th,Private,United-States,White
51,160531,11,0,0,45,Married-civ-spouse,Husband,Male,Sales,Some-college,Self-emp-inc,United-States,White
51,110213,13,7655,0,40,Married-spouse-absent,Not-in-family,Female,Adm-clerical,Masters,Private,United-States,White
60,216301,13,11,0,40,Never-married,Unmarried,Female,Exec-managerial,HS-grad,Private,United-States,White
28,276255,13,3,0,40,Never-married,Own-child,Male,Sales,Bachelors,Private,Dominican-Republic,White
51,215902,9,0,0,58,Divorced,Not-in-family,Female,Other-service,Prof-school,Private,United-States,White
39,180333,10,4,0,51,Divorced,Not-in-family,Female,Sales,Some-college,Private,United-States,Asian-Pac-Islander
56,222013,7,1693,1760,40,Married-civ-spouse,Husband,Male,Craft-repair,Preschool,Private,United-States,White
24,156736,3,0,0,58,Never-married,Own-child,Female,Prof-specialty,Some-college,Private,United-States,White
39,221009,13,0,0,37,Married-civ-spouse,Wife,Female,Sales,Prof-school,Self-emp-not-inc,United-States,White
39,21741,9,5,0,43,Married-civ-spouse,Husband,Male,Sales,Some-college,Private,United-States,White
44,42906,10,3,0,29,Married-civ-spouse,Husband,Male,Exec-managerial,Masters,Private,United-States,White
34,17284,13,5,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,HS-grad,Self-emp-not-inc,United-States,White
54,222634,11,0,0,40,Widowed,Unmarried,Female,Adm-clerical,Bachelors,Private,Cuba,White
38,212373,9,5,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,HS-grad,Private,United-States,White
28,89029,9,2,0,22,Married-spouse-absent,Unmarried,Male,Adm-clerical,HS-grad,State-gov,United-States,White
51,350685,10,3299,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
65,198907,9,0,0,37,Married-civ-spouse,Husband,Male,Adm-clerical,7th-8th,Private,United-States,White
44,247230,12,0,0,50,Married-civ-spouse,Husband,Male,Farming-fishing,HS-grad,State-gov,United-States,White
29,50772,12,0,0,6,Separated,Not-in-family,Female,Adm-clerical,HS-grad,Private,United-States,White
42,190107,9,0,0,40,Married-civ-spouse,Wife,Female,Other-service,Assoc-acdm,Local-gov,United-States,White
36,215066,9,0,0,28,Never-married,Own-child,Female,Adm-clerical,HS-grad,State-gov,United-States,White
23,66189,12,0,0,40,Never-married,Not-in-family,Male,Craft-repair,Preschool,Self-emp-inc,United-States,White
31,391430,9,0,1749,14,Married-civ-spouse,Husband,Male,Machine-op-inspct,10th,Private,United-States,Other
45,334998,13,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Assoc-acdm,Private,United-States,White
21,260899,13,0,0,40,Never-married,Not-in-family,Male,Prof-specialty,Bachelors,Private,United-States,White
26,326480,12,9,0,38,Married-civ-spouse,Husband,Male,Other-service,Bachelors,Private,United-States,White
38,171883,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
38,221117,8,0,0,37,Never-married,Own-child,Female,Adm-clerical,Some-college,Self-emp-inc,United-States,White
21,35651,7,0,0,40,Never-married,Other-relative,Female,Exec-managerial,Some-college,Local-gov,United-States,White
27,130939,13,0,0,50,Divorced,Own-child,Male,Sales,9th,Private,United-States,White
48,27925,7,1,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,HS-grad,Private,United-States,White
21,199488,9,0,0,60,Never-married,Other-relative,Male,Handlers-cleaners,11th,Private,United-States,White
22,221676,7,0,0,40,Never-married,Other-relative,Male,Prof-specialty,Some-college,Private,United-States,White
54,284258,15,4237,0,40,Married-civ-spouse,Husband,Male,Craft-repair,11th,Private,United-States,White
28,332983,6,3,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Some-college,Private,United-States,White
46,111538,10,5,1905,14,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Federal-gov,United-States,White
40,80509,13,6,0,40,Divorced,Unmarried,Female,Prof-specialty,HS-grad,Private,United-States,White
22,239911,6,0,0,20,Never-married,Not-in-family,Male,Machine-op-inspct,Assoc-voc,Private,United-States,Asian-Pac-Islander
48,162504,10,4,0,40,Widowed,Not-in-family,Female,Adm-clerical,Some-college,Local-gov,United-States,White
22,482856,15,0,0,49,Never-married,Not-in-family,Female,Priv-house-serv,Some-college,Private,Cuba,White
32,219972,9,8,1968,40,Married-civ-spouse,Husband,Male,Sales,Assoc-acdm,Private,United-States,White
36,274424,8,11,0,40,Divorced,Not-in-family,Female,Adm-clerical,Bachelors,Private,United-States,White
43,205070,10,7,0,58,Divorced,Unmarried,Female,Other-service,Some-college,Private,United-States,White
26,278335,13,1,0,49,Never-married,Not-in-family,Male,Adm-clerical,Some-college,Private,United-States,White
41,62434,8,1,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Assoc-acdm,Self-emp-inc,United-States,White
26,110980,10,3,2455,40,Married-civ-spouse,Husband,Male,Other-service,Some-college,Private,United-States,White
44,193314,13,15554,0,51,Married-civ-spouse,Husband,Male,Craft-repair,Prof-school,Private,United-States,White
33,208883,10,8,0,40,Married-civ-spouse,Wife,Female,Machine-op-inspct,Bachelors,Private,United-States,White
30,145506,10,0,0,40,Married-civ-spouse,Husband,Male,Sales,HS-grad,Private,United-States,White
45,304055,10,0,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,9th,Private,United-States,White
38,36663,9,0,0,40,Married-civ-spouse,Husband,Male,Sales,Assoc-voc,Private,United-States,White
25,607858,9,0,0,32,Married-civ-spouse,Wife,Female,Handlers-cleaners,Bachelors,Private,United-States,White
52,196095,10,0,0,25,Married-civ-spouse,Husband,Male,Exec-managerial,Some-college,Self-emp-inc,United-States,Black
23,48988,9,7,2292,49,Never-married,Not-in-family,Male,Handlers-cleaners,Some-college,Private,United-States,White
23,198670,10,0,0,40,Never-married,Own-child,Male,Sales,Some-college,Private,United-States,White
24,170343,1,0,0,29,Never-married,Own-child,Female,Prof-specialty,Some-college,Private,United-States,White
37,221232,9,4764,0,54,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Private,United-States,White
35,156621,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Local-gov,United-States,White
33,54621,9,0,0,40,Married-civ-spouse,Husband,Male,Transport-moving,HS-grad,Private,United-States,White
44,336947,7,0,0,40,Married-civ-spouse,Husband,Male,Tech-support,9th,Private,Mexico,White
24,117273,10,0,0,40,Never-married,Own-child,Female,Other-service,Some-college,Private,United-States,White
49,165292,9,2,0,40,Married-civ-spouse,Husband,Male,Other-service,Masters,Private,United-States,Other
52,186890,10,0,0,47,Married-civ-spouse,Husband,Male,Craft-repair,Some-college,Private,United-States,White
55,103341,10,0,0,40,Married-civ-spouse,Husband,Male,Sales,Some-college,Self-emp-not-inc,United-States,White
20,145794,9,10,0,40,Never-married,Not-in-family,Male,Exec-managerial,Bachelors,Private,United-States,White
18,184554,9,0,0,40,Never-married,Own-child,Female,Exec-managerial,HS-grad,Private,United-States,White
47,301694,12,1,0,40,Divorced,Not-in-family,Male,Adm-clerical,HS-grad,Federal-gov,United-States,White
56,164478,9,2,0,40,Widowed,Unmarried,Female,Adm-clerical,Assoc-voc,Private,United-States,White
24,243223,10,2,0,44,Never-married,Unmarried,Female,Adm-clerical,HS-grad,Private,United-States,White
29,457833,11,14,0,40,Never-married,Unmarried,Female,Adm-clerical,Some-college,Private,United-States,Black
46,161406,9,10740,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,HS-grad,Private,United-States,White
45,229925,6,7,0,71,Married-civ-spouse,Husband,Male,Other-service,Some-college,Self-emp-inc,United-States,White
32,89984,9,5,0,58,Married-spouse-absent,Not-in-family,Male,Handlers-cleaners,Some-college,Private,United-States,White
33,203422,9,1,1882,49,Married-civ-spouse,Husband,Male,Protective-serv,12th,Private,United-States,White
33,149671,13,0,0,65,Never-married,Not-in-family,Female,Sales,HS-grad,Private,United-States,Black
25,107134,13,3,0,44,Married-civ-spouse,Husband,Male,Exec-managerial,7th-8th,Private,Germany,White
24,164179,9,4,0,48,Never-married,Not-in-family,Male,Exec-managerial,HS-grad,Private,United-States,White
28,276669,9,0,0,40,Married-civ-spouse,Husband,Male,Craft-repair,Some-college,Private,United-States,White
26,107871,10,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Some-college,Private,England,White
26,49614,14,12,0,45,Never-married,Not-in-family,Female,Exec-managerial,Some-college,Private,United-States,White
26,255823,10,5,0,43,Married-civ-spouse,Husband,Male,Protective-serv,Masters,Private,United-States,White
58,182390,10,4,0,40,Married-civ-spouse,Husband,Male,Sales,Some-college,Private,Mexico,White
31,155443,9,0,0,40,Never-married,Not-in-family,Female,Exec-managerial,11th,State-gov,United-States,White
49,738883,10,8,0,50,Divorced,Not-in-family,Female,Tech-support,HS-grad,Federal-gov,United-States,Asian-Pac-Islander
43,180849,10,9111,0,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,HS-grad,Local-gov,United-States,White
56,144573,9,7,0,12,Married-civ-spouse,Husband,Male,Tech-support,5th-6th,Private,United-States,Black
25,154001,9,13,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,HS-grad,Private,United-States,Other
28,185246,10,6,0,45,Never-married,Not-in-family,Male,Exec-managerial,HS-grad,Private,United-States,Black
19,185230,9,10,0,40,Married-spouse-absent,Own-child,Male,Farming-fishing,HS-grad,Private,United-States,White
51,386919,10,13,0,40,Divorced,Not-in-family,Male,Prof-specialty,Some-college,Self-emp-not-inc,United-States,White
63,368536,10,0,0,20,Married-civ-spouse,Husband,Male,Other-service,Bachelors,Private,United-States,White
45,113926,13,7334,0,40,Married-civ-spouse,Husband,Male,Protective-serv,5th-6th,Self-emp-not-inc,United-States,White
42,32929,9,0,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Masters,Self-emp-inc,United-States,White
51,127898,9,0,0,30,Married-civ-spouse,Wife,Female,Sales,Bachelors,Private,United-States,White
18,242881,8,0,0,40,Never-married,Not-in-family,Female,Sales,Bachelors,Private,United-States,White
36,92963,9,0,0,45,Never-married,Not-in-family,Male,Sales,HS-grad,Private,United-States,White
41,119610,9,0,0,40,Divorced,Unmarried,Female,Adm-clerical,Bachelors,Private,United-States,White
24,293542,8,0,0,34,Never-married,Not-in-family,Female,Sales,HS-grad,Private,United-States,White
20,66667,10,0,0,50,Never-married,Not-in-family,Male,Prof-specialty,HS-grad,Private,United-States,White
58,223711,10,0,0,36,Divorced,Unmarried,Female,Tech-support,HS-grad,Private,United-States,Amer-Indian-Eskimo
23,187825,14,0,0,20,Never-married,Not-in-family,Female,Prof-specialty,HS-grad,Private,United-States,White
44,174006,9,4,0,40,Married-civ-spouse,Husband,Male,Transport-moving,HS-grad,Private,United-States,White
46,238334,6,7,0,60,Married-civ-spouse,Husband,Male,Sales,HS-grad,Private,United-States,White
43,156263,13,6,0,40,Married-civ-spouse,Husband,Male,Adm-clerical,Bachelors,Private,United-States,Black
54,303184,13,0,0,40,Married-civ-spouse,Wife,Female,Other-service,Some-college,Private,United-States,White
39,163944,4,0,1627,25,Married-civ-spouse,Wife,Female,Prof-specialty,Bachelors,Local-gov,United-States,White
41,187269,13,0,0,40,Divorced,Unmarried,Male,Craft-repair,HS-grad,Private,United-States,White
26,292391,9,0,0,50,Separated,Not-in-family,Female,Prof-specialty,Masters,Private,United-States,White
21,71159,13,0,0,45,Never-married,Not-in-family,Female,Prof-specialty,Some-college,Private,United-States,White
30,232522,9,0,0,40,Divorced,Other-relative,Male,Tech-support,Bachelors,Private,United-States,White
47,193491,10,0,0,28,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,Private,United-States,White
63,359565,3,0,0,47,Married-civ-spouse,Husband,Male,Other-service,10th,Private,United-States,White
37,129922,2,2,0,40,Married-civ-spouse,Husband,Male,Other-service,HS-grad,Private,United-States,White
36,110469,10,4,0,40,Never-married,Not-in-family,Female,Sales,HS-grad,Private,United-States,White
17,154808,4,0,0,40,Married-civ-spouse,Husband,Male,Other-service,5th-6th,Private,United-States,White
61,117868,8,0,0,37,Married-civ-spouse,Husband,Male,Craft-repair,7th-8th,Private,United-States,Black
33,159595,9,0,0,56,Never-married,Own-child,Female,Prof-specialty,Bachelors,Private,United-States,White
49,197981,9,11,0,46,Separated,Not-in-family,Female,Exec-managerial,Bachelors,Self-emp-inc,United-States,White
32,237397,11,9,0,40,Married-civ-spouse,Wife,Female,Exec-managerial,Bachelors,Private,United-States,Black
83,78741,13,0,0,28,Divorced,Not-in-family,Male,Exec-managerial,Bachelors,Private,United-States,White
35,13769,9,10,0,40,Married-civ-spouse,Husband,Male,Other-service,HS-grad,Private,United-States,White
17,227009,15,0,0,17,Never-married,Not-in-family,Male,Craft-repair,HS-grad,Private,United-States,White
21,199360,9,13,0,40,Never-married,Unmarried,Female,Exec-managerial,HS-grad,Private,United-States,Black
34,199446,9,2,0,31,Married-civ-spouse,Husband,Male,Other-service,HS-grad,Self-emp-not-inc,United-States,White
48,209348,10,10,0,62,Separated,Not-in-family,Male,Adm-clerical,Some-college,Private,United-States,White
26,128886,10,0,0,25,Married-civ-spouse,Husband,Male,Machine-op-inspct,5th-6th,Private,United-States,White
49,188887,8,0,0,40,Separated,Not-in-family,Male,Transport-moving,7th-8th,Local-gov,United-States,White
35,116022,11,15,0,60,Married-civ-spouse,Husband,Male,Machine-op-inspct,Assoc-acdm,Private,United-States,White
34,127300,10,0,0,40,Never-married,Not-in-family,Male,Craft-repair,9th,Private,Philippines,White
26,128574,15,0,0,40,Never-married,Own-child,Female,Sales,Bachelors,Private,Guatemala,White
25,156193,13,10,0,40,Never-married,Not-in-family,Male,Other-service,Some-college,Private,Mexico,White
24,355508,13,11,0,58,Never-married,Other-relative,Male,Craft-repair,HS-grad,Private,Thailand,White
30,139561,7,4,0,59,Never-married,Own-child,Male,Farming-fishing,HS-grad,Federal-gov,United-States,White
20,20796,11,2,0,40,Never-married,Other-relative,Male,Craft-repair,Some-college,Private,United-States,White
21,89989,9,0,0,20,Never-married,Not-in-family,Male,Craft-repair,11th,Private,United-States,White
58,216104,10,0,0,40,Divorced,Not-in-family,Female,Sales,10th,Private,Mexico,White
34,44375,10,2,0,20,Married-civ-spouse,Husband,Male,Tech-support,Some-college,Private,United-States,White
39,44986,9,0,0,20,Married-civ-spouse,Husband,Male,Craft-repair,HS-grad,Private,United-States,White
52,232074,9,0,0,38,Married-civ-spouse,Husband,Male,Sales,HS-grad,Private,United-States,White
25,110220,10,0,0,51,Never-married,Not-in-family,Female,Tech-support,Doctorate,Private,United-States,White
50,81277,10,0,0,74,Divorced,Own-child,Female,Adm-clerical,HS-grad,Private,United-States,White
35,156469,9,0,0,45,Married-civ-spouse,Husband,Male,Adm-clerical,Some-college,Private,United-States,White
46,197381,15,0,1741,36,Married-civ-spouse,Wife,Female,Adm-clerical,Some-college,Private,United-States,White
20,288948,12,10,0,40,Never-married,Not-in-family,Female,Sales,Some-college,Private,United-States,Asian-Pac-Islander
26,132956,9,2,0,40,Never-married,Not-in-family,Female,Exec-managerial,Masters,Private,United-States,Asian-Pac-Islander
53,154018,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Bachelors,Private,United-States,White
21,185118,9,0,0,44,Never-married,Not-in-family,Male,Adm-clerical,Some-college,Private,United-States,Black
41,185115,10,0,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,Masters,Private,United-States,White
40,215488,14,0,0,40,Divorced,Not-in-family,Male,Adm-clerical,HS-grad,Self-emp-inc,United-States,White
27,175690,10,0,0,75,Never-married,Not-in-family,Male,Prof-specialty,Some-college,Local-gov,United-States,White
37,260764,11,13,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Private,United-States,White
34,152445,9,5,0,50,Never-married,Not-in-family,Male,Other-service,HS-grad,Self-emp-inc,India,White
21,207784,11,0,2174,24,Never-married,Not-in-family,Female,Sales,Some-college,Private,United-States,Black
63,50485,15,0,0,36,Widowed,Unmarried,Female,Other-service,7th-8th,Self-emp-not-inc,United-States,White
28,244751,11,3,0,48,Divorced,Not-in-family,Female,Prof-specialty,Bachelors,Private,United-States,Asian-Pac-Islander
54,99465,10,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Some-college,Private,United-States,White
36,83163,15,0,0,25,Married-civ-spouse,Husband,Male,Protective-serv,HS-grad,Private,Italy,White
17,152379,8,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,Assoc-voc,Private,United-States,White
50,89191,6,0,0,40,Married-civ-spouse,Husband,Male,Handlers-cleaners,HS-grad,Private,United-States,White
33,384610,9,0,0,40,Never-married,Own-child,Male,Other-service,HS-grad,Private,United-States,White
25,250498,9,0,0,8,Never-married,Own-child,Male,Craft-repair,Bachelors,Private,United-States,White
21,192997,9,0,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Bachelors,Private,United-States,White
19,173157,11,0,0,38,Never-married,Own-child,Female,Other-service,HS-grad,Private,United-States,White
17,93976,9,2,0,35,Never-married,Not-in-family,Male,Transport-moving,Some-college,Private,United-States,White
34,75876,9,6,0,40,Divorced,Other-relative,Male,Exec-managerial,Bachelors,Private,United-States,White
64,356618,9,0,0,57,Married-civ-spouse,Husband,Male,Other-service,9th,Federal-gov,United-States,White
37,120243,12,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,Masters,Federal-gov,United-States,Black
21,115443,11,1,0,47,Never-married,Other-relative,Male,Exec-managerial,7th-8th,Private,United-States,White
44,363004,9,2,0,40,Married-civ-spouse,Husband,Male,Other-service,Masters,Private,United-States,White
36,102840,9,21,0,50,Married-civ-spouse,Husband,Male,Handlers-cleaners,Some-college,Private,United-States,White
41,435200,9,3436,0,46,Divorced,Not-in-family,Female,Other-service,Bachelors,Private,China,White
40,367300,9,0,0,30,Never-married,Own-child,Female,Prof-specialty,Some-college,Self-emp-not-inc,United-States,White
41,76791,10,7196,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,Assoc-acdm,Private,United-States,White
28,166762,9,0,0,30,Married-civ-spouse,Husband,Male,Craft-repair,Bachelors,Private,United-States,White
38,295854,10,0,0,45,Divorced,Not-in-family,Female,Adm-clerical,Bachelors,Private,United-States,White
28,166283,10,0,0,6,Married-civ-spouse,Husband,Male,Other-service,HS-grad,Private,United-States,White
20,110352,15,15,0,49,Married-spouse-absent,Unmarried,Male,Farming-fishing,Some-college,Private,Canada,White
20,138794,9,5,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,Assoc-acdm,Private,United-States,White
33,212098,10,0,0,40,Never-married,Not-in-family,Female,Sales,Bachelors,Private,United-States,White
20,164250,13,5,0,28,Divorced,Not-in-family,Female,Other-service,HS-grad,Private,United-States,White
49,87974,9,0,0,59,Married-civ-spouse,Husband,Male,Prof-specialty,Masters,Private,United-States,White
42,171136,14,3665,0,40,Never-married,Own-child,Female,Prof-specialty,HS-grad,Private,United-States,White
36,70084,13,9,0,40,Divorced,Unmarried,Female,Machine-op-inspct,HS-grad,Private,United-States,White
56,112257,10,0,0,28,Married-civ-spouse,Husband,Male,Prof-specialty,Bachelors,Private,United-States,White
48,381590,3,2,1497,40,Married-civ-spouse,Husband,Male,Machine-op-inspct,Some-college,Self-emp-not-inc,United-States,White
21,188927,9,0,0,20,Never-married,Not-in-family,Male,Adm-clerical,Some-college,Private,United-States,White
33,302723,10,5,0,28,Never-married,Not-in-family,Male,Transport-moving,Bachelors,Private,United-States,Asian-Pac-Islander
51,190838,9,0,0,50,Married-civ-spouse,Husband,Male,Other-service,Masters,Local-gov,United-States,White
24,237397,13,0,0,46,Never-married,Not-in-family,Male,Handlers-cleaners,10th,Local-gov,United-States,Black
38,397759,13,0,0,40,Married-civ-spouse,Husband,Male,Protective-serv,Some-college,Private,United-States,White
37,66359,9,4,0,30,Divorced,Unmarried,Female,Sales,Some-college,Private,United-States,White
36,54060,13,3,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,10th,Private,United-States,White
35,215456,9,7,0,40,Divorced,Not-in-family,Female,Machine-op-inspct,HS-grad,Private,United-States,White
57,21425,13,0,1919,20,Married-civ-spouse,Husband,Male,Prof-specialty,Some-college,Private,United-States,White
