age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,marital-status,relationship,sex,occupation,workclass,native-country,race
38,158325,9,0,1310,40,Married-civ-spouse,Other-relative,Male,Prof-specialty,Private,United-States,Black
53,224649,9,0,0,45,Married-civ-spouse,Own-child,Female,Exec-managerial,Self-emp-inc,United-States,Black
37,192652,10,0,0,40,Separated,Own-child,Male,Machine-op-inspct,Private,United-States,White
48,173239,12,0,0,40,Married-civ-spouse,Husband,Male,Other-service,Private,United-States,White
29,369372,13,0,0,36,Separated,Own-child,Male,Prof-specialty,Private,United-States,Black
49,95331,13,8,0,50,Married-civ-spouse,Not-in-family,Female,Prof-specialty,State-gov,United-States,White
46,166158,9,4,1894,63,Never-married,Own-child,Female,Adm-clerical,Private,United-States,Black
38,106934,10,0,0,40,Married-civ-spouse,Unmarried,Female,Other-service,Private,United-States,Black
22,141798,13,4,0,40,Never-married,Husband,Male,Exec-managerial,Private,Philippines,Asian-Pac-Islander
40,212590,9,12,0,25,Married-civ-spouse,Unmarried,Female,Adm-clerical,Private,United-States,White
46,318743,9,1,0,51,Married-civ-spouse,Not-in-family,Male,Transport-moving,Private,United-States,White
67,17736,13,14496,0,49,Married-civ-spouse,Own-child,Male,Transport-moving,Private,United-States,White
40,106503,9,0,0,27,Married-civ-spouse,Husband,Male,Craft-repair,Private,United-States,White
53,31094,12,8,0,40,Married-civ-spouse,Own-child,Male,Exec-managerial,Private,United-States,White
34,220479,9,2,0,40,Never-married,Own-child,Female,Exec-managerial,Private,United-States,White
22,271124,13,0,0,40,Divorced,Husband,Male,Sales,Without-pay,United-States,Black
26,148378,13,0,0,40,Never-married,Own-child,Male,Other-service,Private,United-States,White
20,173869,10,1,0,40,Never-married,Not-in-family,Male,Handlers-cleaners,Private,United-States,White
63,201754,10,0,0,40,Never-married,Not-in-family,Male,Exec-managerial,Self-emp-not-inc,United-States,White
53,137831,10,5,0,56,Married-civ-spouse,Not-in-family,Male,Farming-fishing,State-gov,United-States,White
36,127489,15,2148,0,60,Divorced,Husband,Male,Handlers-cleaners,Private,United-States,Amer-Indian-Eskimo
88,176871,9,8391,0,40,Widowed,Own-child,Female,Sales,Private,Ecuador,White
24,235603,14,0,0,44,Never-married,Not-in-family,Male,Sales,Private,United-States,White
22,261664,1,0,0,12,Never-married,Husband,Male,Exec-managerial,Private,United-States,White
40,782682,9,10,0,53,Married-civ-spouse,Own-child,Female,Prof-specialty,Private,United-States,White
39,222226,13,0,0,40,Married-civ-spouse,Not-in-family,Female,Adm-clerical,Private,Mexico,White
21,37623,10,0,0,40,Never-married,Not-in-family,Male,Other-service,Private,United-States,White
31,209391,11,12,0,45,Married-civ-spouse,Other-relative,Male,Sales,Private,United-States,White
47,156006,10,12,0,20,Divorced,Not-in-family,Male,Exec-managerial,Self-emp-inc,United-States,White
22,157872,13,0,0,45,Never-married,Other-relative,Female,Adm-clerical,Private,United-States,White
34,207208,12,0,0,49,Married-civ-spouse,Not-in-family,Female,Other-service,Private,United-States,White
24,149465,9,0,0,40,Never-married,Not-in-family,Female,Adm-clerical,Federal-gov,Dominican-Republic,White
52,153010,13,0,0,74,Married-civ-spouse,Not-in-family,Male,Craft-repair,Private,United-States,Black
34,77756,10,0,0,40,Never-married,Not-in-family,Female,Exec-managerial,Private,United-States,White
43,192396,10,6,0,69,Married-civ-spouse,Own-child,Male,Craft-repair,Local-gov,United-States,White
28,187711,11,3,0,40,Never-married,Own-child,Female,Prof-specialty,Private,United-States,White
30,344228,9,7739,0,40,Never-married,Other-relative,Female,Other-service,Private,United-States,White
43,26766,11,2,0,20,Married-civ-spouse,Other-relative,Female,Exec-managerial,Local-gov,United-States,White
23,202070,14,8,0,50,Never-married,Not-in-family,Male,Machine-op-inspct,Private,United-States,White
57,25636,9,0,0,40,Divorced,Husband,Male,Sales,Private,United-States,Black
46,57763,9,0,0,40,Married-civ-spouse,Wife,Female,Prof-specialty,Private,United-States,White
35,94718,11,0,0,40,Married-civ-spouse,Husband,Male,Prof-specialty,Private,Philippines,Asian-Pac-Islander
44,189003,13,4,0,40,Married-civ-spouse,Own-child,Male,Prof-specialty,Private,United-States,White
50,138466,10,2,0,57,Married-spouse-absent,Husband,Male,Craft-repair,Self-emp-not-inc,United-States,Asian-Pac-Islander
44,533676,10,0,1740,40,Never-married,Unmarried,Female,Adm-clerical,Local-gov,United-States,White
22,32510,9,0,0,25,Never-married,Own-child,Male,Sales,Private,United-States,White
43,94534,9,3,0,35,Married-civ-spouse,Unmarried,Female,Exec-managerial,Private,United-States,White
31,228310,10,0,0,40,Never-married,Not-in-family,Female,Prof-specialty,Private,United-States,White
83,62464,15,2692,0,40,Married-civ-spouse,Husband,Male,Exec-managerial,Private,United-States,White
30,179544,9,0,0,56,Married-civ-spouse,Husband,Male,Machine-op-inspct,Private,United-States,White
31,236684,3,8,0,40,Divorced,Husband,Male,Machine-op-inspct,Local-gov,United-States,White
35,124206,10,10,0,73,Divorced,Husband,Male,Farming-fishing,Private,United-States,White
20,144329,13,4,1861,35,Never-married,Not-in-family,Female,Other-service,Private,United-States,White
39,371948,14,6,0,51,Married-civ-spouse,Not-in-family,Female,Prof-specialty,Local-gov,United-States,White
32,242228,13,4,0,40,Married-civ-spouse,Not-in-family,Male,Craft-repair,Private,United-States,White
