X1 house age,X2 distance to the nearest MRT station,X3 number of convenience stores,X4 latitude,X5 longitude,Y6 house price of unit area
21.5,271.191,9,24.98408,121.54011,51.8
2.8,4074.2248,0,24.94903,121.51751,17.6
12.6,563.8456,3,24.97974,121.53104,26.9
11.6,3211.5422,0,24.93393,121.52664,13.5
7.2,198.5693,9,24.98242,121.54877,57.9
33.5,2083.382,3,24.96689,121.54208,28.0
35.0,505.6199,7,24.9755,121.53664,39.9
16.3,610.036,1,24.96373,121.53473,24.5
12.2,23.3828,9,24.98813,121.56627,78.1
16.0,4553.9317,0,24.95264,121.51014,12.3
13.9,2536.9698,0,24.97216,121.504,22.9
13.1,314.644,6,24.9912,121.54439,57.3
1.4,4507.6081,0,24.95072,121.47579,20.3
16.4,255.917,6,24.97323,121.54264,37.3
31.3,124.9121,9,24.98281,121.5435,54.6
2.6,80.9531,5,24.98382,121.5464,55.8
18.1,2219.1117,3,24.96356,121.53431,24.7
31.7,2125.6784,5,24.95355,121.51123,15.9
35.4,1482.8799,1,24.97776,121.53109,24.4
7.3,383.8121,5,24.97648,121.55014,43.3
41.9,215.2846,9,24.98297,121.54465,60.8
13.9,589.9649,5,24.96722,121.53254,29.1
30.4,198.7091,9,24.97528,121.54477,51.1
9.7,56.5502,9,24.98944,121.54861,74.2
4.6,116.1758,6,24.98243,121.54948,46.9
31.1,734.4396,0,24.97203,121.53615,36.1
12.0,598.0055,0,24.95319,121.54016,15.9
38.1,491.5969,4,24.96352,121.54397,17.2
18.5,592.7301,1,24.96899,121.5439,19.0
37.1,141.8564,5,24.9678,121.54735,29.7
13.5,777.6786,0,24.97502,121.53684,24.7
0.7,469.7885,3,24.95107,121.54022,54.9
16.4,213.2179,5,24.98259,121.54985,51.0
35.4,1482.521,3,24.97631,121.51606,26.5
8.0,130.5991,8,24.96558,121.54828,25.0
3.3,408.4437,5,24.97144,121.54088,40.3
13.4,408.5761,5,24.97742,121.54273,35.1
14.0,412.0053,8,24.9629,121.54005,43.1
13.7,1627.9884,1,24.95233,121.51692,24.3
16.9,1360.6693,6,24.95288,121.5385,19.7
11.4,383.0714,5,24.97075,121.53717,53.6
28.4,300.0854,4,24.9637,121.54452,56.1
15.1,2520.3494,5,24.9721,121.51196,15.9
18.4,531.6928,9,24.96714,121.54315,23.9
21.6,340.2538,1,24.94069,121.54302,49.2
6.6,254.6577,0,24.95707,121.549,40.7
32.6,387.4454,5,24.98184,121.53874,38.3
5.4,646.209,6,24.94986,121.53868,35.0
12.9,214.5394,3,24.9766,121.54654,47.0
30.6,1373.541,0,24.96312,121.53532,24.4
32.8,262.3339,8,24.96603,121.53979,49.1
3.8,608.2647,5,24.94261,121.54432,42.2
38.1,4486.4095,7,24.97144,121.496,17.5
28.9,232.6599,6,24.98387,121.54413,48.8
39.4,461.1568,3,24.97846,121.53894,31.7
12.9,364.2662,4,24.96282,121.54668,40.6
14.5,155.5252,4,24.98359,121.54348,53.2
2.0,323.8151,0,24.96317,121.5421,40.5
7.9,352.7199,8,24.96305,121.54083,59.0
24.5,818.6969,5,24.9673,121.52535,30.1
27.2,932.0637,4,24.95177,121.53612,17.7
18.4,810.2001,2,24.96041,121.51754,27.0
18.6,176.131,9,24.9748,121.5413,54.8
19.2,1571.0214,3,24.96914,121.51197,21.3
0.1,93.128,5,24.97915,121.54545,49.3
19.3,1472.3843,2,24.96123,121.53861,41.6
10.4,590.0547,8,24.9827,121.52822,40.7
43.4,5510.3107,0,24.94751,121.4878,11.0
1.4,1980.0083,3,24.96764,121.5447,47.6
13.4,319.3296,0,24.97179,121.54798,43.6
7.9,1877.7495,1,24.97528,121.5305,30.4
19.8,507.1456,5,24.97089,121.54158,46.0
32.9,1486.6321,5,24.97432,121.53813,41.8
21.2,120.0219,7,24.97616,121.54376,43.0
4.0,521.7186,3,24.97206,121.53708,41.8
19.2,6488.021,4,24.95265,121.47353,14.4
28.0,23.3828,9,24.98866,121.54937,70.1
17.1,2755.9295,5,24.96189,121.496,15.7
0.0,1064.6065,3,24.9634,121.54233,60.6
20.6,285.1718,1,24.95496,121.54251,43.2
20.2,431.302,4,24.97375,121.53917,37.2
32.5,331.7923,9,24.97328,121.53447,34.3
35.5,143.4193,6,24.9758,121.53659,48.5
15.0,536.2037,6,24.98039,121.53295,29.2
34.2,2979.6402,3,24.96391,121.51563,30.7
33.3,116.8051,9,24.97949,121.54584,29.4
9.0,41.0286,9,24.98111,121.55173,61.1
13.5,107.1143,9,24.98298,121.55143,56.5
27.0,260.4743,6,24.97531,121.54685,54.2
35.7,115.626,3,24.98929,121.542,46.4
16.0,510.6364,3,24.9709,121.5452,40.2
16.1,450.3858,3,24.96581,121.54444,32.3
31.0,450.3692,5,24.98191,121.54307,47.5
8.3,126.8094,7,24.98322,121.54545,60.1
35.8,289.0193,6,24.98113,121.53516,61.5
4.3,129.6417,6,24.9767,121.54733,53.7
14.2,403.7516,8,24.96715,121.53898,37.7
4.5,4128.7989,0,24.96798,121.51429,20.5
18.3,2027.0275,0,24.95225,121.51782,22.9
0.7,155.1799,5,24.96433,121.54845,53.4
10.7,590.8452,1,24.9634,121.53585,42.8
32.4,1755.5686,6,24.97433,121.53253,41.4
34.9,2450.8652,1,24.97517,121.504,24.2
14.6,1472.1286,2,24.96859,121.53352,36.3
16.2,107.718,9,24.98184,121.54901,54.8
13.6,409.3326,0,24.94241,121.54093,37.8
33.6,473.1732,5,24.97805,121.53652,51.6
3.6,377.847,2,24.9666,121.53658,41.2
15.7,4299.2508,0,24.95273,121.496,21.2
31.4,147.4348,6,24.98276,121.5486,53.8
16.4,891.0624,1,24.97321,121.54372,43.3
3.3,231.4865,5,24.97264,121.53909,51.2
13.7,230.5588,9,24.95521,121.52966,49.0
6.8,23.3828,9,24.98784,121.55915,82.4
15.8,645.4761,6,24.98398,121.54268,30.2
25.6,2406.7871,0,24.96967,121.53767,22.2
32.9,787.8592,3,24.96272,121.53794,21.1
16.6,455.0995,5,24.96762,121.54258,31.5
32.2,1492.9429,1,24.97527,121.53072,25.0
17.1,209.9295,5,24.96383,121.54548,46.2
30.5,524.5581,3,24.97615,121.54552,37.9
33.9,1681.6766,9,24.942,121.53616,44.4
17.8,398.3623,5,24.96706,121.54531,35.9
27.3,484.547,0,24.98297,121.53767,45.4
6.2,558.0621,0,24.95157,121.54312,38.6
16.6,1680.2698,0,24.97589,121.51643,29.0
20.5,201.4724,7,24.9848,121.53934,54.0
16.6,4001.1853,2,24.97684,121.496,19.8
37.8,2182.2063,3,24.9756,121.53657,17.9
14.9,931.4402,4,24.96799,121.53643,40.5
4.7,607.4521,5,24.96761,121.51488,19.7
4.4,236.9721,8,24.96463,121.54361,56.1
14.1,479.832,2,24.97605,121.54287,40.8
32.0,1978.9412,0,24.96795,121.52648,14.7
3.1,500.26,7,24.98309,121.53892,48.0
34.3,1706.9529,3,24.96577,121.53977,37.5
9.0,2365.373,0,24.95765,121.51498,37.3
3.0,396.7165,6,24.95146,121.53969,37.1
28.3,23.3828,4,24.97981,121.56098,65.9
10.2,368.9832,3,24.95378,121.54411,27.9
7.5,297.9768,9,24.97588,121.54825,31.0
29.9,329.1649,7,24.9733,121.54156,49.3
36.3,1759.0799,0,24.97304,121.53086,20.7
25.9,441.9445,8,24.96965,121.53637,27.8
6.1,2984.14,4,24.94795,121.53973,25.1
13.2,421.3065,2,24.96274,121.54369,42.2
0.7,893.3675,0,24.97868,121.53666,31.4
17.3,218.0551,8,24.96859,121.5407,42.5
5.3,381.3198,7,24.95528,121.54403,44.8
13.3,2494.5748,0,24.94919,121.51229,22.8
15.4,2128.5558,0,24.98037,121.51604,14.4
27.6,1026.8935,0,24.96769,121.54127,41.3
9.2,490.9766,7,24.96704,121.51775,35.7
32.6,1317.7842,6,24.97458,121.53991,40.6
27.3,1318.8204,0,24.94637,121.53694,35.4
41.6,635.7952,6,24.97001,121.53801,30.5
21.1,1332.0932,4,24.97374,121.51391,40.7
12.6,317.4657,3,24.98436,121.54349,44.8
16.0,2842.5238,0,24.95751,121.51122,24.3
13.9,4419.0737,0,24.97236,121.504,29.5
15.7,3938.2395,6,24.9715,121.496,41.4
37.7,460.111,8,24.96247,121.54367,44.5
35.0,539.6114,5,24.96634,121.51745,35.4
38.9,556.3982,2,24.98282,121.51288,40.1
12.3,1409.6146,2,24.95218,121.51594,25.3
16.9,499.1326,9,24.97932,121.54369,49.2
30.6,4407.905,0,24.94916,121.48353,15.4
34.1,247.9245,3,24.97632,121.53691,39.6
31.7,649.567,0,24.9682,121.53664,25.1
26.2,2327.3385,5,24.97613,121.504,25.8
30.6,154.922,5,24.97541,121.54767,39.1
15.9,1521.3101,3,24.96625,121.51825,41.4
32.1,422.0292,3,24.97293,121.53857,21.9
19.9,4220.7468,0,24.9558,121.504,13.9
13.9,406.9284,7,24.95703,121.53798,46.1
42.4,405.6247,0,24.97978,121.53311,19.1
13.4,373.0336,4,24.95167,121.54995,35.6
0.4,153.9638,3,24.97281,121.54347,50.4
4.0,96.3457,3,24.97836,121.54499,53.4
8.2,3084.6824,3,24.96886,121.496,25.4
4.6,591.8102,7,24.97782,121.54356,35.5
0.0,175.0525,5,24.97447,121.53389,46.0
1.2,663.1001,1,24.96715,121.54304,37.7
12.6,1445.7053,1,24.97488,121.5312,44.6
20.4,2211.8436,2,24.97473,121.504,21.6
13.0,1636.2127,5,24.97124,121.51874,38.9
38.2,4517.9446,3,24.9542,121.50932,14.9
9.4,4141.3284,0,24.95838,121.51895,15.5
29.0,211.7869,9,24.98859,121.54832,49.1
21.1,1731.3452,4,24.94175,121.53694,41.9
7.1,2656.3635,0,24.96763,121.51253,30.5
20.0,187.7917,5,24.98254,121.54951,39.4
9.1,45.09,9,25.00791,121.54848,72.8
31.2,119.9875,9,24.9879,121.53681,66.1
21.5,1966.7623,2,24.96385,121.53747,22.3
12.8,451.6849,2,24.96253,121.54534,23.4
35.9,320.3928,4,24.97347,121.54405,26.2
0.6,570.6498,1,24.9738,121.53179,42.1
0.9,825.1633,5,24.97673,121.53276,31.4
11.5,2140.4252,7,24.97143,121.504,45.5
15.3,1328.0524,0,24.98048,121.51358,40.0
0.9,495.6319,1,24.97803,121.53971,26.0
4.0,140.5867,6,24.97647,121.55064,46.7
8.2,3755.4266,3,24.9628,121.51252,31.7
41.0,2009.5101,1,24.94327,121.496,21.0
17.7,490.7641,7,24.97347,121.54294,28.4
0.5,254.0374,6,24.96134,121.54076,52.4
1.2,450.7757,4,24.98148,121.51606,53.0
14.7,71.4705,7,24.99187,121.55791,47.2
30.5,665.9383,3,24.97161,121.53627,28.5
21.7,539.4512,1,24.97657,121.54005,40.2
39.7,300.4599,4,24.97488,121.54334,37.4
17.4,4095.2317,5,24.96194,121.51639,23.3
12.4,277.1453,5,24.9665,121.5466,43.8
16.5,1403.8345,3,24.96504,121.504,32.8
12.4,2351.6021,0,24.95016,121.51665,21.2
12.5,2158.8365,6,24.97342,121.504,45.9
28.8,251.5799,1,24.97601,121.54406,41.6
2.9,463.8557,5,24.96782,121.53722,44.2
6.0,319.8074,1,24.97683,121.53136,40.4
13.2,2769.5254,3,24.96619,121.53851,24.5
0.2,952.5589,0,24.95523,121.51628,41.4
18.8,495.2642,4,24.97555,121.53615,55.0
40.7,1758.1527,7,24.97581,121.52668,43.6
11.2,375.4144,7,24.94242,121.53192,37.5
37.9,317.6259,7,24.96569,121.54442,38.1
31.5,371.8553,2,24.97623,121.5404,37.4
32.7,594.9378,1,24.97881,121.52725,49.6
16.8,401.6581,6,24.97235,121.54317,34.5
13.6,1380.4296,1,24.97161,121.53623,25.8
16.3,441.6767,5,24.96307,121.54401,46.0
30.8,65.1162,6,24.97499,121.54985,52.8
15.8,218.7461,8,24.97501,121.54424,63.3
16.1,207.1085,8,24.98398,121.54294,61.3
13.7,109.5873,6,24.97914,121.54377,60.9
34.9,336.7782,9,24.97512,121.54266,45.9
37.8,4090.7734,1,24.97583,121.52734,30.4
13.2,1547.204,0,24.94194,121.5113,33.6
15.2,321.0412,7,24.96403,121.5341,42.0
13.0,4026.7686,0,24.95621,121.51459,30.5
4.0,1741.181,3,24.9652,121.53429,27.4
9.0,269.0814,1,24.9656,121.53824,37.0
9.4,189.254,6,24.98075,121.54702,50.5
17.2,749.7914,1,24.98187,121.53252,30.2
9.3,4503.9829,0,24.9577,121.504,15.9
13.4,2635.4413,3,24.97861,121.51086,25.8
18.2,404.5138,9,24.98075,121.53924,47.0
5.5,23.3828,9,24.98554,121.56013,57.3
30.0,640.6074,0,24.96217,121.53902,22.6
9.9,913.1322,5,24.97817,121.53762,28.9
18.9,289.115,2,24.98046,121.53587,31.8
16.9,1792.9335,1,24.96354,121.504,34.8
35.1,472.6834,5,24.9748,121.5425,29.4
35.5,2273.2467,7,24.96314,121.51304,24.4
3.2,138.0348,9,24.98369,121.5382,75.6
13.4,234.1113,4,24.9714,121.54697,39.0
0.0,409.7084,5,24.97319,121.54373,52.0
9.8,184.5271,8,24.98463,121.54518,45.6
30.6,473.7518,6,24.97434,121.51671,27.6
13.2,5512.2472,0,24.9507,121.48062,12.2
9.2,747.3513,5,24.94595,121.53659,26.7
4.3,104.9179,6,24.98249,121.54475,53.4
5.1,379.8592,1,24.96275,121.54543,30.6
31.0,6432.5057,0,24.94892,121.496,11.6
12.7,463.5439,5,24.95704,121.55154,40.8
5.1,472.8565,5,24.97352,121.51784,46.9
15.1,769.1907,4,24.96467,121.53794,24.4
33.3,1366.2473,1,24.96169,121.53486,27.5
4.2,361.3493,8,24.97369,121.52349,64.6
32.5,232.8432,5,24.97793,121.53954,46.9
7.2,498.1552,3,24.97343,121.53459,50.5
34.1,4196.4345,5,24.97619,121.50993,38.0
17.0,501.9429,3,24.96299,121.54134,33.0
1.0,289.3652,2,24.96726,121.54349,41.8
16.2,528.5319,2,24.9589,121.53521,39.6
13.5,456.1322,1,24.96401,121.54389,37.4
4.0,1319.1169,3,24.94856,121.51767,40.0
6.5,190.0499,4,24.97335,121.54972,38.7
34.4,581.68,2,24.97528,121.54332,37.3
34.1,101.8596,9,24.98,121.54774,42.2
16.4,421.335,5,24.97191,121.54004,44.6
17.3,54.3041,8,24.9763,121.54978,43.2
9.1,371.4415,9,24.95082,121.53966,47.5
12.3,452.4866,8,24.95041,121.53977,36.7
4.5,4083.7062,8,24.95101,121.496,35.2
27.4,176.436,7,24.97723,121.53326,45.4
0.0,438.03,7,24.97026,121.51387,56.1
30.8,787.1388,5,24.97434,121.52985,42.9
36.2,260.3658,9,24.96359,121.53679,45.6
16.9,438.2335,1,24.96235,121.54557,41.4
4.3,383.586,6,24.95232,121.51559,29.1
13.6,292.9416,5,24.9776,121.5434,49.8
4.2,1484.0692,2,24.96926,121.53517,37.2
17.6,514.771,3,24.97596,121.53104,28.8
19.0,1209.776,2,24.96186,121.52786,21.0
13.9,586.2194,2,24.94173,121.51769,34.3
22.8,4511.219,0,24.93989,121.504,13.0
0.0,4234.6185,1,24.96388,121.504,33.2
18.2,188.0928,6,24.97707,121.54501,47.6
35.4,512.358,1,24.96747,121.54001,29.3
31.9,533.3837,5,24.96698,121.53893,51.6
4.8,73.4493,6,24.98634,121.55174,50.5
31.5,1595.3184,5,24.93322,121.54283,31.0
37.5,244.9511,9,24.96477,121.53808,34.9
26.8,545.4471,5,24.96069,121.51589,26.1
17.6,325.5992,3,24.97199,121.54335,29.4
29.6,277.4513,6,24.96378,121.5444,43.4
13.2,571.9706,3,24.97716,121.53691,45.8
17.5,436.6612,0,24.94543,121.54196,21.6
7.0,239.8644,5,24.97152,121.54497,41.7
1.0,1339.6213,3,24.95273,121.53418,29.8
21.4,415.4852,2,24.95018,121.54553,40.0
0.4,478.6748,4,24.94226,121.54664,46.0
16.9,207.2707,8,24.96875,121.53823,48.1
13.6,513.9332,1,24.97322,121.54034,31.1
18.9,102.474,7,24.9831,121.54817,59.6
21.0,1249.9585,0,24.9471,121.51544,21.9
0.5,107.465,6,24.98077,121.54898,54.5
32.1,1750.5024,0,24.95038,121.53516,19.4
4.0,247.6351,9,24.97869,121.54736,51.3
1.9,544.4057,7,24.9626,121.51521,40.8
15.3,4086.9514,0,24.94198,121.52996,35.4
17.3,4108.3935,0,24.94195,121.504,20.2
8.7,420.1891,3,24.95778,121.54511,53.5
12.2,764.5314,5,24.97025,121.54276,41.6
18.2,4182.533,0,24.94145,121.53732,15.3
17.2,254.0105,7,24.97897,121.54452,40.7
14.0,451.2138,6,24.98,121.5399,41.5
29.6,4128.1123,0,24.9729,121.51171,26.0
16.7,965.3267,2,24.9613,121.5325,26.6
36.8,54.7962,9,24.98575,121.54449,58.4
14.6,126.7148,8,24.9809,121.54426,43.9
4.8,3138.4917,1,24.96384,121.51272,39.6
14.6,1140.1976,4,24.94772,121.53085,26.0
16.5,503.3077,8,24.9902,121.53784,54.8
15.4,373.7815,5,24.96258,121.5438,36.1
16.7,1728.9601,4,24.97333,121.53966,29.9
12.4,833.3672,1,24.97914,121.51432,34.1
0.0,348.1093,8,24.9808,121.54389,48.8
16.0,953.7622,1,24.97343,121.52829,33.6
20.7,4087.0209,1,24.94194,121.51261,27.7
29.8,232.7812,5,24.96307,121.54398,43.5
13.3,147.7111,7,24.95726,121.54838,40.9
1.1,163.2033,4,24.97846,121.54934,58.9
16.6,567.709,5,24.97492,121.53941,37.0
21.0,470.6573,8,24.97924,121.54,36.3
7.1,6301.2888,0,24.95311,121.496,21.8
12.7,518.0136,5,24.96407,121.54057,31.4
36.0,865.6619,4,24.97774,121.53463,53.6
